{0: 0.001}
{2859: ('2015-01-01', '2016-01-01'), 8292: ('2015-01-01', '2016-01-01'), 3413: ('2015-01-01', '2016-01-01'), 6990: ('2015-01-01', '2016-01-01'), 7951: ('2015-01-01', '2016-01-01')}
logTest,mseTest,maeTest, mseTestUnNorm, maeTestUnNorm
-102.63004501,0.0837616383865,0.092960963168
q_z_dim,p_z_dim,p_x_dim,x2s_dim,y2s_dim,z2s_dim
150,150,150,100,100,100
epoch,log,kl,mse,mae
0,53.29,1.25,2.852,1.323
9,-31.62,0.01,0.553,0.404
19,-47.71,0.04,0.431,0.313
29,-57.61,0.19,0.307,0.264
39,-51.93,0.10,0.275,0.231
49,-65.74,0.45,0.156,0.148
58,-73.96,0.29,0.132,0.120
68,-65.11,0.13,0.125,0.123
78,-72.76,0.26,0.131,0.130
88,-80.71,0.40,0.123,0.128
98,-67.65,0.32,0.116,0.128
107,-87.23,0.25,0.104,0.102
117,-89.89,1.33,0.105,0.099
127,-75.51,0.52,0.099,0.108
137,-88.20,0.19,0.100,0.110
147,-92.14,0.48,0.095,0.104
156,-87.41,0.62,0.090,0.092
166,-93.39,0.38,0.108,0.109
176,-90.24,0.52,0.099,0.113
186,-86.27,0.40,0.099,0.099
196,-95.93,0.41,0.089,0.096
205,-96.63,0.66,0.106,0.107
215,-85.30,0.37,0.103,0.115
225,-95.05,0.53,0.096,0.099
235,-102.02,0.52,0.093,0.095
245,-92.03,0.40,0.090,0.093
254,-94.84,0.80,0.093,0.100
264,-93.40,1.59,0.091,0.101
274,-90.93,0.28,0.098,0.103
284,-101.89,0.38,0.092,0.094
294,-92.02,0.79,0.102,0.118
300,-103.84,0.27,0.088,0.093
