{0: 0.001}
{2859: ('2015-01-01', '2016-01-01'), 8292: ('2015-01-01', '2016-01-01'), 3413: ('2015-01-01', '2016-01-01'), 6990: ('2015-01-01', '2016-01-01'), 7951: ('2015-01-01', '2016-01-01')}
logTest,mseTest,maeTest, mseTestUnNorm, maeTestUnNorm
-89.4578813041,0.00758052382473,0.0375741186215
q_z_dim,p_z_dim,p_x_dim,x2s_dim,y2s_dim,z2s_dim
150,150,150,100,100,100
epoch,log,kl,mse,mae
0,28.72,0.67,1.082,0.829
10,-51.44,0.02,0.011,0.057
20,-51.42,0.01,0.013,0.078
30,-63.24,0.01,0.010,0.056
40,-67.53,0.02,0.010,0.058
50,-59.50,0.02,0.012,0.058
60,-38.74,0.06,0.017,0.084
70,-69.96,0.01,0.009,0.053
80,-68.63,0.00,0.008,0.048
90,-65.67,0.00,0.013,0.058
100,-56.72,0.23,0.009,0.056
110,-60.41,0.16,0.008,0.056
120,-75.66,0.10,0.007,0.044
130,-80.52,0.28,0.007,0.042
140,-72.65,0.09,0.008,0.044
150,-56.97,0.11,0.008,0.053
160,-72.50,0.09,0.007,0.042
170,-63.18,0.11,0.007,0.040
180,-71.27,0.28,0.007,0.037
190,-87.56,0.08,0.008,0.037
200,-89.26,0.10,0.007,0.038
