{0: 0.001}
{2859: ('2015-01-01', '2016-01-01'), 8292: ('2015-01-01', '2016-01-01'), 3413: ('2015-01-01', '2016-01-01'), 6990: ('2015-01-01', '2016-01-01'), 7951: ('2015-01-01', '2016-01-01')}
logTest,mseTest,maeTest, mseTestUnNorm, maeTestUnNorm
-139.681587612,0.50084029604,0.273802432455
q_z_dim,p_z_dim,p_x_dim,x2s_dim,y2s_dim,z2s_dim
150,150,150,100,100,100
epoch,log,kl,mse,mae
0,283.75,5.90,6.872,1.817
10,8.36,0.11,9.803,2.132
20,39.95,0.02,8.665,2.072
30,68.53,0.05,7.385,1.808
40,-18.64,0.11,5.422,1.350
50,-39.65,0.54,4.226,1.148
60,-9.19,0.31,3.791,1.091
70,-65.71,1.08,2.766,0.888
80,-74.05,2.87,1.625,0.649
90,-54.37,5.40,1.049,0.514
100,-106.09,5.72,0.717,0.416
110,-103.80,5.74,0.539,0.357
120,-84.00,6.11,0.417,0.316
130,-123.82,7.56,0.378,0.299
140,-122.87,8.99,0.292,0.251
150,-90.74,7.90,0.419,0.323
160,-133.32,7.23,0.346,0.283
170,-132.28,7.49,0.218,0.216
180,-98.17,9.68,0.235,0.225
190,-135.09,8.79,0.264,0.234
200,-142.45,10.36,0.234,0.216
210,-127.07,7.88,0.211,0.204
220,-140.42,9.23,0.239,0.226
230,-152.42,7.81,0.220,0.199
240,-122.08,8.50,0.197,0.189
250,-151.42,8.64,0.191,0.190
260,-142.30,9.23,0.234,0.215
270,-136.87,8.17,0.206,0.198
280,-158.10,11.55,0.202,0.198
290,-152.99,7.83,0.182,0.189
300,-145.06,8.07,0.153,0.164
310,-172.28,8.98,0.143,0.157
320,-153.00,9.62,0.179,0.183
330,-144.88,8.59,0.169,0.184
340,-169.19,8.45,0.154,0.163
350,-162.50,8.17,0.152,0.163
360,-136.02,8.59,0.190,0.190
370,-174.14,9.68,0.141,0.157
380,-169.06,8.87,0.150,0.164
390,-157.68,8.65,0.131,0.149
400,-169.87,8.65,0.151,0.169
410,-173.24,8.85,0.126,0.138
420,-148.12,9.78,0.140,0.154
430,-176.46,8.82,0.165,0.167
440,-178.94,9.81,0.119,0.137
450,-153.30,9.29,0.149,0.157
460,-178.65,10.16,0.156,0.159
470,-185.52,9.03,0.117,0.135
480,-163.86,10.05,0.141,0.148
490,-190.10,10.56,0.120,0.139
500,-178.41,8.23,0.155,0.161
510,-163.24,9.84,0.129,0.143
520,-187.62,11.32,0.129,0.141
530,-188.30,8.99,0.121,0.135
540,-170.39,8.67,0.134,0.138
550,-192.59,10.19,0.169,0.149
560,-187.12,9.31,0.122,0.136
570,-165.47,9.52,0.136,0.139
580,-195.11,12.52,0.129,0.137
590,-194.18,8.75,0.125,0.133
600,-174.07,9.35,0.124,0.133
