{0: 0.001}
['air1', 'furnace1', 'refrigerator1', 'clotheswasher1', 'drye1', 'dishwasher1', 'kitchenapp1', 'microwave1']
{2859: ('2015-01-01', '2016-01-01')}

logTest,mse1_test,mse2_test,mse3_test,mse4_test,mse5_test, mse6_test,mse7_test,mse8_test,mae1_test,mae2_test,mae3_test,mae4_test,mae5_test, mae6_test,mae7_test,mae8_test,mseTest,maeTest
-2777.504,0.114,0.035,0.020,0.012,0.018,0.083,0.001,0.051,0.093,0.070,0.083,0.011,0.008,0.047,0.003,0.037,0.042,0.044

relErr1,relErr2,relErr3,relErr4,relErr5,relErr6,relErr7,relErr8,propAssigned1,propAssigned2,propAssigned3,propAssigned4,propAssigned5
-0.859327244701,-0.99294890081,-1.01120657195,-0.923609285277,-0.0971737441514,-inf,-0.837680770804,-0.996511073048,0.821433342282,0.865148703679,0.838241386862,0.977929778879,0.985370962161,0.909773771646,0.993925562825,0.927507290129
batch,perReal1,perReal2,perReal3,perReal4,perReal5,perReal6,perReal7,perReal8,perPredict1,perPredict2,perPredict3,perPredict4,perPredict5,perPredict6,perPredict7,perPredict8
0,0.359826733749,0.221717508591,0.229220042322,0.0067035601699,0.13820491436,0.0,0.00288537340522,0.0414418674029,0.0649261164065,0.00328404124603,0.000344115808061,-0.00179332474307,0.122500426159,-0.00546106108773,-0.000108067528395,-0.00181515807284
1,0.374523673573,0.222828360659,0.223048115214,0.0079335378859,0.128130084889,0.0,0.00132036628211,0.0422158614976,0.060986689034,-0.000119687388743,-0.0021301172097,0.00111516198564,0.138239874862,0.0045589558769,-0.00034345591754,0.00874836840489
2,0.371656843197,0.241034183173,0.220118006638,0.00641411079373,0.117510672475,0.00193979661356,0.00154914963967,0.0397772374696,0.0530946202087,0.00407593292357,-0.000767932483921,0.000938716556849,0.130979768993,0.00765273798969,0.000333539295571,-0.00245921721532
3,0.394242071365,0.255571052201,0.262612656749,0.00712283141564,0.0265757557104,0.0,0.00167953851483,0.052196094044,0.0396557858244,-0.00206510815508,-0.00825051810764,0.0030852519314,0.0347059431952,0.00311810286292,0.00244387185529,0.00100825688608
4,0.339029063797,0.244708652345,0.302452179576,0.0121682210218,0.0314796570121,0.016691018694,0.00214826627481,0.0513229412796,0.0535410824106,0.00569048570966,-9.22371782165e-05,0.000773034537928,0.00935636610951,0.00331978214419,-9.16623506901e-05,0.0013647745297
5,0.388320669652,0.247048766762,0.256410119248,0.0080504065145,0.0465064859016,0.00500734286658,0.00196641895636,0.0466897900989,0.0464876145091,0.000527473784532,-0.00193661579304,-0.00873828514748,0.0416814695081,0.00241356721043,-0.000186335872096,0.00925120470262
6,0.36206918593,0.226958610131,0.249050275044,0.00512428224288,0.100582912587,0.00660479936315,0.00162390442597,0.0479860302758,0.0507116839911,0.00436865557334,-0.00854182694957,0.00403182499526,0.0780258692684,-0.0138740257001,0.00220824563425,-0.00420215029493
7,0.428086146202,0.237742481116,0.190459028097,0.00625055360985,0.0998645876926,0.0,0.00130824307172,0.0362889602106,0.0608779488724,0.000792940630226,-0.000813555510481,0.000377703426745,0.0992727472137,-0.00221602997944,-0.000585125169552,-0.0184448966489
8,0.395883830251,0.219706026559,0.208316457016,0.00703677606361,0.127770764784,0.0,0.0020502204628,0.0392359248635,0.0552307532182,-0.00126985375353,-0.00218817106117,0.00175398207475,0.111820001254,-0.00873950195195,-0.000149457069009,0.00838785152798
9,0.383902675393,0.222852446711,0.211899128964,0.00912461770147,0.120497824733,0.00774851728594,0.00219966906194,0.041775120151,0.0462923653539,0.00116174230346,-0.00258096181372,0.00216056543245,0.107632035461,-0.015843672161,-0.000471443467892,0.00297869090335
/home/gissella/Documents/Research/Disaggregation/PecanStreet-dataport/VRNN_theano_version/output/allAtOnce/18-06-14_11-18_6990/dp_disall-sch_1_best.pkl
