{0:,0.001,,150:,0.0001},,,,,,,,,,,,,,,,
{2859:,('2015-01-01',,'2015-12-01')},,,,,,,,,,,,,,,,,
q_z_dim,p_z_dim,p_x_dim,x2s_dim,y2s_dim,z2s_dim,,,,,,,,,,,,,,,
180,-3393.234406,0.419981,0.404,0.514,0.999,1.127,0.983,1.062,1.539,1.036,0.152,0.219,0.47,0.105,0.09,0.913,0.612,0.106,0.958,0.33
190,-3371.461981,0.457503,0.393,0.512,0.992,1.119,0.996,1.06,1.533,1.027,0.148,0.219,0.462,0.104,0.09,0.913,0.607,0.105,0.954,0.33
200,-3502.976694,0.450077,0.392,0.511,1.024,1.069,0.976,1.059,1.545,1.004,0.147,0.217,0.467,0.102,0.087,0.913,0.612,0.103,0.948,0.33
210,-3522.380315,0.461538,0.387,0.509,1.019,1.079,0.975,1.057,1.547,1.048,0.144,0.217,0.464,0.099,0.086,0.913,0.611,0.105,0.953,0.33
220,-3514.69115,0.468871,0.38,0.526,1.004,1.086,1.003,1.065,1.537,1.05,0.143,0.223,0.461,0.101,0.087,0.913,0.612,0.106,0.956,0.33
230,-3528.85826,0.470306,0.38,0.536,0.996,1.05,0.977,1.057,1.558,1.009,0.143,0.226,0.465,0.099,0.085,0.912,0.616,0.103,0.945,0.33
240,-3552.591235,0.473954,0.372,0.561,1.005,1.165,0.98,1.058,1.555,1.013,0.14,0.236,0.463,0.106,0.085,0.912,0.618,0.104,0.964,0.33
250,-3569.225839,0.476728,0.366,0.558,1,1.127,0.984,1.055,1.552,1.024,0.138,0.234,0.464,0.104,0.085,0.913,0.614,0.105,0.958,0.33
260,-3425.536298,0.478317,0.372,0.569,1.011,1.15,0.988,1.057,1.574,1.005,0.139,0.239,0.466,0.107,0.086,0.913,0.62,0.103,0.966,0.33
270,-3638.558417,0.480861,0.374,0.574,0.99,1.117,1.01,1.049,1.551,1.021,0.141,0.24,0.465,0.103,0.087,0.912,0.615,0.104,0.961,0.33
280,-3205.346306,0.458643,0.369,0.608,1.023,1.098,1.049,1.048,1.571,1.026,0.138,0.284,0.465,0.103,0.09,0.912,0.62,0.104,0.974,0.34
290,-3609.95795,0.42219,0.371,0.787,1.03,1.168,1.067,1.053,1.56,1.012,0.139,0.332,0.465,0.11,0.092,0.912,0.617,0.103,1.006,0.35
300,-2976.882252,0.388841,0.366,1.492,1.024,1.272,1.069,1.057,1.578,1.057,0.139,0.688,0.468,0.116,0.092,0.913,0.621,0.107,1.114,0.39
310,-3029.803342,0.390569,0.354,1.246,1.042,1.309,1.081,1.066,1.583,1.086,0.136,0.738,0.466,0.117,0.093,0.914,0.623,0.107,1.096,0.40
320,-3148.848759,0.384924,0.351,0.603,1.044,1.31,1.12,1.064,1.588,1.02,0.135,0.439,0.469,0.117,0.096,0.913,0.626,0.104,1.013,0.36
330,-3264.331699,0.365134,0.346,0.487,1.036,1.254,1.159,1.063,1.57,1.056,0.133,0.267,0.47,0.114,0.099,0.913,0.621,0.106,0.996,0.34
340,-3542.886471,0.353253,0.338,0.686,1.031,1.346,1.162,1.052,1.576,1.116,0.13,0.313,0.469,0.119,0.1,0.912,0.623,0.11,1.038,0.35
350,-3246.562853,0.332263,0.353,0.754,1.053,1.366,1.177,1.054,1.584,1.091,0.136,0.322,0.473,0.121,0.102,0.912,0.627,0.109,1.054,0.35
360,-3560.28183,0.320559,0.347,0.728,1.033,1.345,1.286,1.064,1.574,1.074,0.133,0.302,0.473,0.123,0.111,0.913,0.62,0.108,1.056,0.35
370,-3610.907301,0.320423,0.345,0.727,1.062,1.433,1.339,1.065,1.58,1.149,0.133,0.296,0.474,0.126,0.116,0.913,0.625,0.113,1.088,0.35
380,-3528.66343,0.323206,0.343,0.731,1.046,1.354,1.431,1.081,1.598,1.127,0.133,0.295,0.47,0.122,0.123,0.914,0.628,0.111,1.089,0.35
390,-3284.336086,0.281128,0.34,0.843,1.03,1.443,1.498,1.086,1.535,1.126,0.132,0.394,0.473,0.129,0.133,0.915,0.594,0.112,1.113,0.36
400,-3501.459696,0.295932,0.333,0.828,1.042,1.498,1.552,1.089,1.395,1.123,0.13,0.364,0.471,0.136,0.136,0.916,0.544,0.113,1.108,0.35
