{0:,0.0001,,100:,1e-05},,,,,,,,,,,
epoch,log,kl,nll_upper_bound,mse1,mae1,mse2,mae2,mse3,mae3,mse4,mae4,mse5,mae5,MSE,MAE
0,954.830137913,24.0293081978,978.859446111,2.9672,1.255,3.1113,1.2901,2.0596,1.1363,1.5637,0.8761,1.6061,0.897,2.262,1.091
10,-1062.06340199,8.6027156721,-1053.46068632,2.3222,0.6716,2.624,0.764,1.7263,0.9576,0.4842,0.092,0.4691,0.0786,1.525,0.513
20,-1506.45781216,10.4551437127,-1496.00266845,2.3927,0.6697,2.792,0.7744,1.7198,0.9507,0.4832,0.0792,0.4679,0.0914,1.571,0.513
30,-1230.4503422,11.6597075693,-1218.79063463,2.6057,0.7813,2.8572,0.7825,1.7152,0.9474,0.4795,0.0886,0.463,0.0697,1.624,0.534
40,-1028.75393409,38.3519703836,-990.40196371,2.2788,0.7176,3.0551,0.8516,1.7064,0.9464,0.4925,0.1306,0.4614,0.0815,1.599,0.546
50,-1387.01225672,21.2455026095,-1365.76675411,2.2723,0.6459,2.4314,0.7069,1.7376,0.96,0.4831,0.0988,0.464,0.0785,1.478,0.498
