epoch,log,kl,nll_upper_bound,mse,mae
1,548.486058927,
2,-285.559096204,
3,-707.618324799,
4,-857.026545718,
5,-894.023316874,
6,-789.277572957,
7,-764.980686616,
8,-743.838500401,
9,-617.912233793,
10,-741.378994415,
11,-618.589376692,
12,-502.749737249,
13,-541.087164284,
14,-275.726526861,
15,-449.484542024,
16,-674.034479402,
17,-669.190564536,
18,-932.543045759,
19,-1014.71192478,
20,-1115.23748559,
21,-780.020185136,
22,-628.122893679,
23,-738.172599994,
24,-654.487790738,
25,-573.723159171,
26,-889.685206101,
27,-1041.26034456,
28,-318.464247356,
29,-134.637973059,
30,-675.364957915,
31,-901.944935627,
32,-324.003037707,
33,-763.681234095,
34,-402.945401796,
35,-730.725248016,
36,-900.761872826,
37,-1007.38461336,
38,-819.973126159,
39,-989.049295676,
40,-767.532781374,
41,-1032.5817079,
42,-973.420100928,
43,-1198.40060103,
44,-1150.57916318,
45,-1108.86378437,
46,-909.228045815,
47,-1193.00021631,
48,-1277.7437633,
49,-1491.75831429,
50,-1572.59985184,
51,-1235.97165356,
52,-1415.03052549,
53,-1192.8580639,
54,-1438.85143446,
55,-1332.8227467,
56,-1158.49706683,
57,-1572.03675773,
58,-1599.72011042,
59,-681.771799394,
60,-636.843631823,
61,-969.940675762,
62,-1434.62138446,
63,-1375.80993412,
64,-878.929165293,
65,-1266.32715075,
66,-1412.74183171,
67,-1403.14049917,
68,-1413.49315451,
69,-983.528355764,
70,-1072.95785705,
71,-927.053750767,
72,-1112.53278207,
73,-1509.03551263,
74,-1055.62526533,
75,-1080.50603865,
76,-1083.4194238,
77,-1123.80910801,
78,-1119.69258722,
79,-1392.80112623,
80,-1286.65579738,
81,-1437.42357918,
82,-1579.17896259,
83,-1710.99855744,
84,-1735.97059024,
85,-1534.25559955,
86,-1583.90385819,
87,-1549.40134727,
88,-1096.97410967,
89,-1233.486232,
90,-1560.30746874,
91,-1055.26719292,
92,-1304.05996713,
93,-1457.29715496,
94,-1598.89085785,
95,-1500.40389426,
96,-1715.06892723,
97,-1330.9837169,
98,-719.873121683,
99,-809.694998215,
100,-910.56655792,
