{0: 0.0001, 75: 1e-05, 150: 1e-06}
{7951: ('2015-06-01', '2015-11-01')}
logTest,mseTest,maeTest
1.50032623532,0.454179396812,0.305607398174
q_z_dim,p_z_dim,p_x_dim,x2s_dim,y2s_dim,z2s_dim
150,150,150,100,100,100
epoch,log,kl,mse,mae
0,28.4363094266,0.0989751420698,2.08215183757,1.17992480432
9,-3.68528607212,0.102528421069,0.70814912861,0.50849424218
19,-23.7186756204,0.400036594672,0.500427380614,0.34240905217
28,-1.64949288732,1.54297451844,0.4609927652,0.306852880967
38,-37.7305613114,2.88153821715,0.438227673197,0.277642850528
47,-36.0110691296,3.83846553974,0.488438826762,0.305754485621
57,-38.9867543188,5.40175198557,0.463036677579,0.281355481853
66,-42.0938971043,5.71986869968,0.431948987779,0.262541234443
76,-44.0082816197,5.27353901156,0.413720688013,0.252796217701
86,-46.2443042941,5.41319281064,0.41513056356,0.252419425063
95,-47.6092201811,5.67389858111,0.413416021723,0.251254571011
105,-48.6219046705,5.87768614365,0.413457526026,0.250599315087
114,-49.6255171647,6.01633630838,0.414097719679,0.250538135544
124,-50.5999769071,6.15142476141,0.413605449792,0.250062573507
133,-51.3761323299,6.2186248005,0.413811821307,0.249701756905
143,-51.880655752,6.24747268694,0.413428618974,0.249595045236
153,-52.6178925699,6.25961318359,0.410868225789,0.248367208478
162,-52.7029693896,6.26487088975,0.412163223582,0.248726604175
172,-52.7720021679,6.28568588112,0.411108566676,0.248242669322
181,-52.8985081011,6.25446468252,0.411202505952,0.248169308133
191,-53.0246265629,6.27248203744,0.413043173506,0.249400257418
200,-53.1177150764,6.28988918774,0.411806547432,0.248335457674
