{0: 0.001, 75: 0.0001, 150: 1e-05}
{2859: ('2015-01-01', '2016-01-01'), 8292: ('2015-01-01', '2016-01-01'), 3413: ('2015-01-01', '2016-01-01'), 6990: ('2015-01-01', '2016-01-01'), 7951: ('2015-01-01', '2016-01-01')}
logTest,mseTest,maeTest
-32.6680855799,1.61237292109,0.705696386352
q_z_dim,p_z_dim,p_x_dim,x2s_dim,y2s_dim,z2s_dim
150,150,150,100,100,100
epoch,log,kl,mse,mae
0,186.594412817,0.703963598192,2.12469224275,1.08784421603
12,168.889456493,0.0345380486573,3.27060693359,1.10482153722
24,63.8065940943,0.0700422871759,2.71260525774,0.91357449416
36,40.6324518759,0.0109934928189,2.10824568628,0.800107524941
48,-20.2351884215,0.434068399224,0.94685432583,0.550576477818
61,-31.8963393966,0.0733854395285,0.550425548289,0.406333111883
73,39.5202183506,0.275053856872,0.678761488648,0.467508000033
85,-123.877282691,0.158884873313,0.507816033339,0.398024058823
97,-183.871863798,0.117223164492,0.528109007315,0.388053854776
110,-164.394650093,0.103559782936,0.557750139076,0.395857682763
122,-156.015392288,0.0965090625509,0.551194171084,0.395900175076
134,-92.716632713,0.0944612332195,0.582845440829,0.403149785564
146,-116.174411637,0.0858302525313,0.57221277403,0.395371611782
158,-160.053394228,0.0874643404444,0.581115822027,0.400958144746
171,-188.433140588,0.0909637218383,0.594467633683,0.401433716373
183,-196.75685687,0.0903769551849,0.58231170158,0.398381893959
195,-195.088198917,0.090573732042,0.601464339112,0.403777795432
200,-204.495022384,0.090473927074,0.603275584863,0.403609820693
