{0: 0.001}
{2859: ('2015-01-01', '2016-01-01')}
logTest,mseTest,maeTest
-39.9395084758,0.0357434767234,0.0775050347288

q_z_dim,p_z_dim,p_x_dim,x2s_dim,y2s_dim,z2s_dim
150,150,150,100,100,100
epoch,log,kl,mse,mae
0,28.49,0.38,2.109,1.187
10,-9.72,0.03,0.583,0.393
20,-17.79,0.06,0.519,0.356
30,-30.04,0.04,0.558,0.363
40,-21.37,0.08,0.644,0.424
50,-34.84,0.04,0.571,0.363
60,-12.69,0.05,0.538,0.354
70,-40.12,0.06,0.534,0.347
80,-16.28,0.08,0.506,0.338
90,-41.65,0.16,0.484,0.322
100,-24.84,0.30,0.298,0.240
110,-44.34,0.54,0.141,0.156
120,-38.10,0.59,0.098,0.129
130,-45.92,0.74,0.071,0.111
140,-42.03,1.12,0.054,0.094
150,-50.81,4.54,0.053,0.088
160,-43.41,1.56,0.047,0.090
170,-53.08,2.02,0.039,0.073
180,-50.04,2.30,0.037,0.068
190,-52.38,3.10,0.041,0.075
200,-52.47,2.83,0.036,0.063
