{0: 0.001}
{2859: ('2015-06-25', '2015-11-01')}
q_z_dim,p_z_dim,p_x_dim,x2s_dim,y2s_dim,z2s_dim
80,80,60,50,50,60
epoch,log,mse,mae
0,28.2494987588,2.04958254827,1.16989905799
0,26.1160979896,1.74726541444,1.0756321896
1,0.350473868679,0.593648660778,0.474496147575
2,-10.5327100426,0.64454446508,0.437878068307
3,-11.1986476285,0.742609945084,0.483669714396
3,-14.5681823312,0.621281344161,0.459886878107
4,-21.7637784097,0.57985464614,0.404982042363
5,-2.72777318683,0.639515697773,0.467301113807
6,-20.8209853002,0.646355805794,0.437792627457
7,-24.0635879218,0.582796878657,0.406075940151
7,-8.35896161823,0.537488747256,0.392109315242
8,-17.6456459861,0.506430644094,0.362351637335
9,-26.1811155619,0.576661098582,0.391066605563
10,3.19017729983,0.521757321327,0.366954830824
