{0:,0.0001,,100:,1e-05},,,,,,,,,,,
epoch,log,kl,nll_upper_bound,mse1,mae1,mse2,mae2,mse3,mae3,mse4,mae4,mse5,mae5,MSE,MAE
0,920.239410033,18.8830417806,939.122451814,2.3637264469,1.2123664238,2.199315075,1.1876143929,2.1399107013,1.1407670696,1.2819363761,0.8642245131,1.5008213228,0.9094706047,1.897,1.063
10,-875.401281013,6.7168502104,-868.684430803,2.1613366771,0.9020958021,1.9550724383,0.9245528356,1.8648680422,0.9694884541,0.2614814763,0.1226536834,0.6420300026,0.1869021453,1.377,0.621
20,-1411.81078241,10.4668376766,-1401.34394474,2.1812473017,0.8794765014,1.9979161598,0.9131594436,1.8752514219,0.9582206543,0.2407641046,0.0926414727,0.6054039541,0.1496100016,1.380,0.599
30,-999.087107939,15.7838611295,-983.30324681,2.3581306628,0.945779591,2.0968275405,0.9459447571,1.9036234865,0.9609099681,0.2708330146,0.1499153361,0.7808036907,0.339167616,1.482,0.668
40,-1431.33802324,25.6344346264,-1405.70358861,2.3657017818,0.9549742272,2.1980005777,1.0041031617,1.9124333772,0.960741401,0.2352625449,0.1050136245,0.5043192099,0.131822975,1.443,0.631
50,-1456.44361507,25.6701383701,-1430.7734767,2.3424514323,0.9657092262,1.8883479959,0.8617463438,1.95569698,0.9767267266,0.2476082962,0.1127505016,0.5618921771,0.1877544691,1.399,0.621
