{0: 0.001},,,,,,,,,,,,,,,,,,,,
83,-2782.37,0.13,0.092,0.007,0.037,0.001,0.131,0.018,0.001,0.003,0.086,0.03,0.131,0.004,0.037,0.019,0.002,0.01,0.036,0.040
93,-2799.99,0.22,0.075,0.01,0.036,0,0.099,0.013,0.001,0.003,0.072,0.035,0.129,0.003,0.027,0.013,0.002,0.01,0.030,0.036
100,-2813.4,0.3,0.088,0.006,0.036,0,0.103,0.011,0.001,0.003,0.088,0.028,0.126,0.003,0.029,0.012,0.001,0.01,0.031,0.037
,,,,,,,,,,,,,,,,,,,,
batch,perReal1,perReal2,perReal3,perReal4,perReal5,perReal6,perReal7,perReal8,perPredict1,perPredict2,perPredict3,perPredict4,perPredict5,perPredict6,perPredict7,perPredict8,,,,
0,0.3182649989,0.4724925943,0.1428542153,0.0016442688,0.0411383267,0.0136851048,0.0017590041,0.0081614871,0.3539329394,0.4597186848,0.0023007628,-0.0002279079,0.0394687774,-0.0004421136,-4.51232424173E-005,-0.0001875269,,,,
1,0.3289757272,0.4760163001,0.1318381316,0.0022465744,0.0440051905,0.0050866465,0.0016311124,0.0102003173,0.3552188133,0.4603657481,0.0004066849,-0.0002319087,0.0535645176,0.0003675287,7.52914897845E-005,-5.64165545248E-005,,,,
2,0.3762722689,0.4365183553,0.133204111,0.0012192854,0.0363066702,0.0076649461,0.0005372828,0.0082770802,0.4019800518,0.425868116,0.0010259253,-8.00688636349E-005,0.0408297996,0.0004077063,2.66985841232E-005,-0.000336601,,,,
3,0.3729866328,0.4114240186,0.1204674952,0.002896962,0.0634246325,0.0194131319,0.0010173356,0.0083697913,0.3914393983,0.3991537025,0.0027229583,-0.0003646434,0.0892089378,0.0014218352,-9.09084359797E-005,0.0001967454,,,,
4,0.2831125772,0.4952911836,0.1409716064,0.0006153147,0.0577102737,0.0109002241,0.0005053766,0.0108934438,0.3202547017,0.4814212148,0.0059330929,0.0003454811,0.0496252965,-0.0001537088,0.0001558664,2.96559048717E-005,,,,
5,0.3456634325,0.4819189533,0.1325391289,0.0013820365,0.0273397544,0.0009146102,0.0007966258,0.0094454584,0.3713156129,0.4684465422,0.0017018347,-0.0001775638,0.0292597565,0.0006105785,-8.70903022046E-005,0.0001881918,,,,
6,0.2808496606,0.4684786649,0.1351577394,0.0017680676,0.0999136478,0.004579627,0.000770742,0.0084818507,0.3080119688,0.4550229343,0.0020679842,-0.0001616807,0.0912079356,-0.0007209461,-9.00735144493E-005,0.0011113919,,,,
7,0.2886782192,0.4792519294,0.1393423818,0.0032005278,0.0607642628,0.0197342444,0.0010234204,0.0080050142,0.3168532063,0.463853432,0.0024922845,-4.28227723187E-005,0.0603604164,0.0002043589,4.57983832486E-005,-0.0001514592,,,,
8,0.353362682,0.4621660662,0.1314976157,0.0013543326,0.0406828288,0,0.0019271316,0.0090093431,0.380160605,0.4485924005,0.0003676546,0.000006909,0.045004166,6.54503620022E-005,0.0001671049,-0.0002696836,,,,
9,0.3086911608,0.482371592,0.1378356603,0.0038662243,0.0577199873,0,0.0011984052,0.00831697,0.3467278365,0.4695097464,-1.65901807208E-005,0.0001291496,0.0554259166,0.0010424079,-2.85437972961E-005,0.0006179933,,,,
