{0: 0.0001}
{2859: ('2015-01-01', '2016-01-01'), 8292: ('2015-01-01', '2016-01-01'), 3413: ('2015-01-01', '2016-01-01'), 6990: ('2015-01-01', '2016-01-01'), 7951: ('2015-01-01', '2016-01-01')}
logTest,mseTest,maeTest, mseTestUnNorm, maeTestUnNorm
-1.57880333783,1.29875771414,0.714333277446,2.47933335392,0.986970731113
q_z_dim,p_z_dim,p_x_dim,x2s_dim,y2s_dim,z2s_dim
150,150,150,100,100,100
epoch,log,kl,mse,mae
0,184.02,2.45,2.087,1.151
7,109.92,0.06,2.304,1.091
14,64.15,0.03,1.988,0.972
21,82.50,0.03,1.972,0.978
28,47.91,0.03,2.013,0.986
35,46.30,0.03,1.985,0.972
42,47.26,0.05,1.930,0.956
49,37.13,0.06,1.960,0.955
56,32.79,0.10,1.895,0.946
63,17.91,0.11,1.876,0.923
70,41.85,0.16,1.843,0.896
77,25.45,0.18,1.798,0.889
84,26.47,0.20,1.758,0.868
91,11.89,0.24,1.641,0.827
98,-0.16,0.27,1.630,0.824
105,-4.13,0.30,1.544,0.795
112,-10.02,0.34,1.513,0.781
120,-0.60,0.44,1.467,0.758
127,-0.89,0.47,1.380,0.728
134,-13.10,0.57,1.325,0.702
141,12.50,0.64,1.327,0.716
148,-18.26,0.76,1.261,0.678
155,-18.56,0.82,1.224,0.662
162,-20.63,0.92,1.212,0.658
169,-18.52,0.98,1.216,0.666
176,-2.77,1.22,1.167,0.650
183,-25.37,1.26,1.166,0.646
190,-18.26,1.35,1.165,0.646
197,-29.08,1.58,1.134,0.635
200,-28.20,1.62,1.140,0.637
