{0:,0.001},,,,,,,,,,,,,,,,,,,
{2859:,('2015-01-01',,'2015-12-01')},,,,,,,,,,,,,,,,,
q_z_dim,p_z_dim,p_x_dim,x2s_dim,y2s_dim,z2s_dim,,,,,,,,,,,,,,,
180,-1840.685478,0.412097,0.461,0.444,1.05,0.748,2.038,1.18,1.707,1.083,0.183,0.206,0.517,0.143,0.391,0.911,0.638,0.127,1.089,0.390
190,-1719.613736,1.284553,0.402,0.424,0.969,0.499,1.215,1.13,1.705,1.029,0.159,0.199,0.478,0.091,0.146,0.914,0.639,0.109,0.922,0.342
200,-2458.075638,0.568508,0.471,0.462,0.937,0.638,1.17,1.142,1.697,1.081,0.178,0.199,0.466,0.094,0.117,0.906,0.636,0.117,0.950,0.339
210,-2654.455187,0.40506,0.459,0.43,0.883,0.737,1.157,1.096,1.704,1.03,0.171,0.184,0.441,0.116,0.11,0.903,0.631,0.112,0.937,0.334
220,-2371.137153,0.345545,0.454,0.424,0.912,0.676,1.142,1.143,1.706,1.013,0.174,0.185,0.448,0.107,0.125,0.906,0.633,0.111,0.934,0.336
230,-2479.248245,0.312693,0.466,0.435,0.946,0.713,1.109,1.183,1.709,1.024,0.177,0.189,0.48,0.108,0.118,0.91,0.643,0.11,0.948,0.342
240,-2527.690371,0.363003,0.447,0.411,0.914,0.69,1.144,1.197,1.714,1.049,0.172,0.18,0.455,0.103,0.114,0.914,0.641,0.117,0.946,0.337
250,-2525.76442,0.31952,0.441,0.41,0.908,0.775,1.247,1.146,1.72,1.03,0.168,0.181,0.444,0.107,0.132,0.91,0.646,0.114,0.960,0.338
260,-2835.656584,0.342932,0.401,0.398,0.857,0.806,1.17,1.12,1.714,1.054,0.156,0.172,0.429,0.102,0.116,0.906,0.646,0.115,0.940,0.330
270,-1773.582213,0.2976,0.438,0.409,0.869,0.684,1.183,1.136,1.712,1.03,0.167,0.177,0.43,0.098,0.125,0.907,0.64,0.107,0.933,0.331
280,-2442.506087,7.004173,0.473,0.436,0.921,0.683,1.141,1.411,1.687,1.018,0.179,0.188,0.456,0.099,0.114,0.926,0.645,0.118,0.971,0.341
290,-2834.756351,0.454428,0.404,0.398,0.856,0.686,1.156,1.167,1.723,1.064,0.155,0.171,0.424,0.095,0.112,0.906,0.643,0.112,0.932,0.327
300,-2826.904563,0.320818,0.404,0.409,0.829,0.732,1.164,1.185,1.681,1.014,0.151,0.174,0.415,0.093,0.111,0.91,0.625,0.117,0.927,0.325
