{0: 0.01, 75: 0.001, 150: 0.0001}
{2859: ('2015-01-01', '2016-01-01'), 8292: ('2015-01-01', '2016-01-01'), 3413: ('2015-01-01', '2016-01-01'), 6990: ('2015-01-01', '2016-01-01'), 7951: ('2015-01-01', '2016-01-01')}
logTest,mseTest,maeTest
-123.436044338,1.01602233874,0.557740188246
q_z_dim,p_z_dim,p_x_dim,x2s_dim,y2s_dim,z2s_dim
150,150,150,100,100,100
epoch,log,kl,mse,mae
0,175.498876019,0.712703710896,1.93714279019,1.05624333767
12,529.347155852,0.0494391051811,1.4898365366,0.723572176986
24,178.162998657,0.0172903415996,3.88828706677,1.1028571107
36,135.16547325,0.0154044448065,1.38186298395,0.687236814517
48,35.8752226214,0.00077013361778,2.13720174007,0.897404908415
61,574.474910279,0.224213274996,1.02607516527,0.493971476883
73,129.261404315,0.00103990237536,1.44794706196,0.687080216207
85,-31.3388490183,1.01685402159e-05,1.19854884201,0.658198466253
97,-38.6839152855,9.37940690436e-06,1.11721128927,0.656020505957
110,-65.3404940815,1.28417615933e-05,1.11837830782,0.645377639198
122,12.8273687862,1.98682480073e-05,1.05837384242,0.604791352461
134,-64.009388226,1.53051086962e-05,0.909859803078,0.511235107732
146,-28.1244989761,3.25693835278e-06,0.865082338538,0.495976457039
158,-116.700957106,2.36054313194e-05,0.96420015236,0.530206208284
171,-116.997290864,1.64181653112e-05,0.97333980485,0.536636170771
183,-121.923286459,2.35860730307e-05,0.973335405706,0.540570347809
195,-131.036472868,2.95549176598e-05,0.970924576578,0.543483946258
200,-127.698145971,8.88655809415e-06,0.965754813136,0.541263412087
