{0: 0.001, 100: 0.0005},,,,,,,,,,,,,,,,,,,
['air1', 'furnace1', 'refrigerator1', 'clotheswasher1', 'drye1', 'dishwasher1', 'kitchenapp1', 'microwave1'],,,,,,,,,,,,,
{2859: ('2015-01-01', '2016-01-01')},,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
logTest,mse1_test,mse2_test,mse3_test,mse4_test,mse5_test, mse6_test,mse7_test,mse8_test,mae1_test,mae2_test,mae3_test,mae4_test,mae5_test, mae6_test,mae7_test,mae8_test,mseTest,maeTest,,
,95.246,610.095,1302.938,1534.6,1529.103,0.744,0.003,4.483,0,0,0,0,0,0,0,0,0,0,,
,,,,,,,,,,,,,,,,,,,,
-2693.431,814.763,12.685,6.14,0.502,130.681,781.801,880.313,1331.31,257.51,36.005,42.313,2.696,35.586,41.905,364.814,72.817,494.774,106.706,,
,,,,,,,,,,,,,,,,,,,,
q_z_dim,p_z_dim,p_x_dim,x2s_dim,y2s_dim,z2s_dim,,,,,,,,,,,,,,,
500,500,500,200,200,200,,,,,,,,,,,,,,,
epoch,log,kl,mse1,mse2,mse3,mse4,mse5,mse6,mse7,mse8,mae1,mae2,mae3,mae4,mae5,mae6,mae7,mae8,MSE,MAE
184,-2266.72,0.43,0.824,0.886,1.315,1.32,2.108,1.127,1.199,1.247,0.263,0.42,0.659,0.133,0.199,0.898,0.443,0.111,1.253,0.39
190,-2538.92,1.31,0.818,0.905,1.294,1.35,1.291,1.405,1.123,1.202,0.259,0.418,0.652,0.135,0.106,0.922,0.379,0.111,1.174,0.37
196,-2489.87,0.42,0.821,0.843,1.328,1.335,1.235,1.214,1.178,1.239,0.26,0.412,0.666,0.133,0.1,0.907,0.376,0.11,1.149,0.37
203,-1694.32,2.72,0.826,0.812,1.311,1.365,1.267,1.139,1.182,1.237,0.263,0.405,0.658,0.139,0.103,0.9,0.39,0.114,1.142,0.37
209,-2228.13,0.47,0.836,0.78,1.359,1.293,1.259,1.104,1.221,1.228,0.265,0.405,0.682,0.134,0.105,0.897,0.412,0.111,1.135,0.38
215,-2600.09,0.33,0.832,0.743,1.352,1.734,1.242,1.135,1.277,1.246,0.265,0.391,0.67,0.188,0.101,0.898,0.427,0.112,1.195,0.38
221,-2493.18,0.91,0.83,0.718,1.345,1.487,1.288,1.166,1.351,1.246,0.266,0.383,0.67,0.163,0.102,0.902,0.436,0.112,1.179,0.38
227,-2542.02,0.33,0.823,0.683,1.361,1.417,1.318,1.227,1.254,1.242,0.265,0.381,0.671,0.152,0.105,0.908,0.384,0.111,1.166,0.37
233,-2243.21,0.59,0.843,0.705,1.344,1.387,1.327,1.281,1.536,1.266,0.272,0.389,0.663,0.143,0.106,0.919,0.537,0.113,1.211,0.39
240,-2076.51,1.7,0.841,0.699,1.325,1.352,1.263,1.198,1.339,1.281,0.27,0.379,0.658,0.138,0.104,0.91,0.441,0.116,1.162,0.38
246,-2533.41,0.43,0.826,0.684,1.327,1.327,1.286,1.119,1.478,1.247,0.262,0.37,0.654,0.133,0.101,0.901,0.438,0.112,1.162,0.37
252,-2189.21,10.28,0.83,0.671,1.313,1.337,1.318,1.49,2.308,1.216,0.267,0.376,0.663,0.132,0.104,0.948,0.502,0.115,1.310,0.39
258,-1642.2,0.63,0.813,0.668,1.319,1.334,1.268,2.695,1.584,1.261,0.258,0.357,0.646,0.132,0.108,1.155,0.472,0.114,1.368,0.41
264,-2038.06,0.56,0.818,0.655,1.34,1.399,1.264,1.037,1.443,1.262,0.259,0.362,0.649,0.139,0.103,0.898,0.458,0.115,1.152,0.37
270,-2615.99,0.4,0.819,0.702,1.301,1.377,1.271,0.998,1.358,1.303,0.259,0.363,0.641,0.136,0.099,0.891,0.442,0.117,1.141,0.37
276,-2513.52,0.39,0.823,0.68,1.267,1.304,1.343,0.998,1.326,1.27,0.26,0.354,0.635,0.127,0.114,0.89,0.44,0.112,1.126,0.37
283,-2612.8,0.59,0.822,0.651,1.294,1.351,1.276,0.974,1.315,1.243,0.258,0.338,0.628,0.129,0.1,0.888,0.438,0.108,1.116,0.36
289,-2575.25,0.48,0.801,0.597,1.257,1.297,1.261,0.983,1.309,1.275,0.252,0.251,0.624,0.127,0.103,0.888,0.425,0.113,1.098,0.35
295,-2972.11,0.63,0.811,0.611,1.298,1.25,1.335,0.995,1.299,1.25,0.255,0.245,0.626,0.124,0.104,0.89,0.434,0.114,1.106,0.35
300,-2688.84,0.79,0.793,0.609,1.257,1.331,1.304,0.991,1.286,1.255,0.252,0.251,0.615,0.128,0.105,0.89,0.426,0.113,1.103,0.35
