{0: 0.001}
{2859: ('2015-01-01', '2016-01-01'), 8292: ('2015-01-01', '2016-01-01'), 3413: ('2015-01-01', '2016-01-01'), 6990: ('2015-01-01', '2016-01-01'), 7951: ('2015-01-01', '2016-01-01')}
logTest,mseTest,maeTest, mseTestUnNorm, maeTestUnNorm
1.23478449822,0.967591266089,0.569543640573,3.92365581837,1.14690247329
q_z_dim,p_z_dim,p_x_dim,x2s_dim,y2s_dim,z2s_dim
150,150,150,100,100,100
epoch,log,kl,mse,mae
0,7.15,0.08,2.117,1.120
6,4.35,0.00,2.062,0.949
12,4.28,0.02,2.084,0.941
18,4.29,0.03,2.002,0.924
24,4.23,0.04,1.925,0.922
30,4.06,0.08,2.014,0.923
36,4.15,0.14,1.977,0.936
42,3.62,0.09,1.907,0.886
48,3.51,0.11,1.549,0.806
54,2.60,0.18,1.248,0.684
60,2.50,0.19,1.079,0.635
66,2.32,0.19,1.026,0.623
72,2.29,0.22,1.048,0.639
78,2.27,0.22,1.010,0.618
84,2.17,0.27,0.981,0.608
90,1.80,0.23,0.929,0.581
96,1.80,0.26,1.001,0.599
102,1.70,0.29,1.001,0.596
108,1.52,0.31,0.937,0.572
114,1.67,0.30,0.966,0.582
120,1.64,0.40,0.977,0.588
126,1.51,0.46,0.929,0.572
132,1.22,0.38,0.918,0.563
138,1.27,0.38,0.959,0.580
144,1.19,0.45,0.909,0.555
150,1.14,0.45,0.937,0.559
156,1.09,0.39,0.936,0.564
162,0.99,0.37,0.862,0.540
168,0.99,0.41,0.885,0.547
174,0.97,0.42,0.847,0.529
180,0.97,0.41,0.948,0.556
186,0.92,0.45,0.878,0.552
192,1.02,0.54,0.858,0.544
198,0.82,0.46,0.926,0.556
200,0.78,0.47,0.855,0.536
