{0: 0.0001}
{2859: ('2015-01-01', '2016-01-01')}
logTest,mseTest,maeTest
-36.8057010489,0.53575816161,0.364451639212

q_z_dim,p_z_dim,p_x_dim,x2s_dim,y2s_dim,z2s_dim
150,150,150,100,100,100
epoch,log,kl,mse,mae
0,28.30,0.46,2.065,1.173
9,14.38,0.02,1.067,0.771
18,-5.64,0.03,0.842,0.551
28,-25.07,0.06,0.792,0.509
37,-29.85,0.10,0.784,0.499
46,-29.35,0.12,0.775,0.495
56,-23.36,0.16,0.756,0.483
65,-31.44,0.18,0.749,0.475
75,-30.48,0.22,0.725,0.463
84,-32.85,0.31,0.711,0.449
93,-33.90,0.32,0.681,0.431
103,-33.39,0.36,0.645,0.412
112,-41.20,0.47,0.611,0.391
121,-30.89,0.37,0.613,0.393
131,-42.90,0.39,0.589,0.382
140,-34.83,0.41,0.587,0.382
150,-43.22,0.42,0.567,0.370
159,-38.74,0.45,0.543,0.361
168,-42.38,0.47,0.537,0.355
178,-42.14,0.51,0.507,0.340
187,-39.48,0.56,0.481,0.327
196,21.40,3.16,0.463,0.334
200,-38.63,0.94,0.520,0.356
