epoch,log,kl,nll_upper_bound,mse,mae
1,172.776314218,0.373337270275,173.149651489,2.11599628967,1.14697938242,
2,172.07898944,0.0165932798206,172.09558272,2.10033244331,1.1425397181,
3,172.058392691,0.00180587900825,172.06019857,2.07959569809,1.1371730632,
4,172.061704822,0.000484485387084,172.062189307,2.07865199043,1.13527754593,
5,172.061184008,0.00023876418789,172.061422772,2.06177865049,1.13122297299,
6,172.04235472,0.000158856446316,172.042513577,2.05995480387,1.13053395292,
7,171.962829491,0.000118509308214,171.962948,2.0613243514,1.13117502046,
8,171.643563903,9.07903710622e-05,171.643654693,2.05874867598,1.12999056208,
9,170.184376166,7.2933533068e-05,170.1844491,2.05994613579,1.12621651525,
10,162.032696368,5.92959153327e-05,162.032755664,2.05722728695,1.10971431549,
11,129.58566794,4.82163992146e-05,129.585716156,2.01762873594,1.04273672911,
12,68.0458260863,3.58303153233e-05,68.0458619167,1.87299943199,0.9097370439,
13,1.4103266887,3.12836017948e-05,1.4103579723,1.78156037721,0.807170425903,
14,-62.1916621421,3.19467527565e-05,-62.1916301953,1.77357534565,0.763195451658,
15,-123.324202619,4.00089124125e-05,-123.32416261,1.78365290823,0.744791609834,
16,-179.812197358,5.58889583693e-05,-179.812141469,1.84217085058,0.752399730577,
17,-229.469189018,0.000614202914519,-229.468574815,1.91806308376,0.768746121548,
18,-275.71292306,0.00451404662959,-275.708409014,1.99086947749,0.78851570134,
19,-311.581641432,0.00189929285915,-311.579742139,2.03216782174,0.802925895689,
20,-343.677737779,0.00270918510173,-343.675028594,2.05940186171,0.812292043618,
21,-357.318804918,0.00300077480002,-357.315804144,2.10816104926,0.826887221275,
22,-378.533537839,0.00586365241146,-378.527674186,2.11112043342,0.831337564787,
23,-390.308216253,0.00104824448872,-390.307168009,2.13938956471,0.839967719764,
24,-394.469335471,0.000941463621266,-394.468394007,2.14328038318,0.839930737446,
25,-399.429770354,0.000136839886038,-399.429633515,2.13487129003,0.838923138725,
26,-403.47395764,2.49293074027e-05,-403.473932711,2.14337954011,0.841313126753,
27,-405.789212052,1.75666542064e-05,-405.789194486,2.14267048775,0.841489381012,
28,-409.742239231,1.65312055281e-05,-409.7422227,2.14564068029,0.842508598896,
29,-411.624586792,1.58654331763e-05,-411.624570927,2.14814658188,0.843725487645,
30,-415.349676541,1.52792130159e-05,-415.349661262,2.1529466781,0.844984986852,
31,-416.816309625,1.47143064464e-05,-416.81629491,2.15270950824,0.845560592707,
32,-420.335775685,1.41748660433e-05,-420.33576151,2.15990242925,0.847415928515,
33,-421.441575282,1.36628605882e-05,-421.441561619,2.15498732606,0.846748488279,
34,-424.744709996,1.31697195753e-05,-424.744696826,2.16407065164,0.849130259812,
35,-425.557655162,1.27037414021e-05,-425.557642458,2.16676994777,0.851052683053,
36,-428.637406886,1.22488055994e-05,-428.637394637,2.16519429964,0.849579820563,
37,-429.21816082,1.18261242599e-05,-429.218148994,2.16228389763,0.849364426383,
38,-432.075266988,1.14072013362e-05,-432.075255581,2.16680307323,0.849945532031,
