{0: 0.001}
['air1', 'furnace1', 'refrigerator1', 'clotheswasher1', 'drye1', 'dishwasher1', 'kitchenapp1', 'microwave1']
{8292: ('2015-01-01', '2016-01-01')}

logTest,mse1_test,mse2_test,mse3_test,mse4_test,mse5_test, mse6_test,mse7_test,mse8_test,mae1_test,mae2_test,mae3_test,mae4_test,mae5_test, mae6_test,mae7_test,mae8_test,mseTest,maeTest
-2203.021,0.729,0.057,0.009,0.031,0.514,0.027,0.022,0.030,0.342,0.123,0.051,0.078,0.148,0.043,0.033,0.048,0.177,0.108

relErr1,relErr2,relErr3,relErr4,relErr5,relErr6,relErr7,relErr8,propAssigned1,propAssigned2,propAssigned3,propAssigned4,propAssigned5
-0.142597270843,-0.0531302871345,-0.0128399193941,0.827653075025,-0.194427435489,-0.354385850666,-1.11120034913,0.601750960653,0.815329775707,0.933251254642,0.972510300316,0.957673265511,0.920249927688,0.976637782833,0.981902371705,0.973908896144
q_z_dim,p_z_dim,p_x_dim,x2s_dim,y2s_dim,z2s_dim
500,500,500,200,200,200
epoch,log,kl,mse1,mse2,mse3,mse4,mse5,mse6,mse7,mse8,mae1,mae2,mae3,mae4,mae5,mae6,mae7,mae8
0,845.31,49.35,2.450,1.323,1.191,1.108,1.333,1.108,1.152,1.054,1.180,0.913,0.865,0.835,0.878,0.834,0.850,0.814
25,-896.08,1.31,1.986,0.122,0.012,0.009,0.246,0.029,0.032,0.028,0.859,0.247,0.066,0.046,0.119,0.060,0.069,0.115
50,-1277.39,7.67,1.647,0.092,0.015,0.005,0.284,0.022,0.032,0.014,0.680,0.197,0.083,0.029,0.123,0.047,0.055,0.034
75,-808.39,10.97,1.212,0.076,0.015,0.009,0.362,0.033,0.064,0.061,0.570,0.180,0.066,0.029,0.202,0.057,0.224,0.158
100,-1368.25,3.67,0.820,0.080,0.011,0.009,0.397,0.041,0.129,0.043,0.426,0.168,0.058,0.028,0.128,0.072,0.262,0.109
125,-1776.17,7.62,0.872,0.061,0.010,0.006,0.427,0.029,0.036,0.040,0.601,0.132,0.052,0.022,0.123,0.054,0.049,0.093
150,-1470.74,1.23,0.641,0.057,0.009,0.075,0.367,0.027,0.030,0.078,0.314,0.127,0.050,0.244,0.156,0.046,0.047,0.119
175,-1556.89,2.02,0.709,0.063,0.010,0.072,0.403,0.030,0.065,0.048,0.329,0.136,0.050,0.161,0.170,0.049,0.105,0.075
200,-2208.40,2.04,0.689,0.055,0.009,0.030,0.427,0.026,0.022,0.030,0.327,0.120,0.051,0.076,0.127,0.042,0.034,0.047
