{0: 0.001, 75: 0.0001, 150: 1e-05}
{7951: ('2015-06-01', '2015-11-01')}
logTest,mseTest,maeTest
5.76270465789,0.416161124391,0.294497351438
q_z_dim,p_z_dim,p_x_dim,x2s_dim,y2s_dim,z2s_dim
150,150,150,100,100,100
epoch,log,kl,mse,mae
0,28.4492438726,0.121037992444,2.08135896568,1.1789667256
9,-22.5017741796,1.39785307469,0.378611822213,0.264455264364
19,-26.9855775133,3.96216737743,0.42349892014,0.300302691184
28,-16.6863437831,4.63478969339,0.707098602885,0.461679633839
38,-36.4670877081,4.8159161743,0.403553651036,0.271482888026
47,-17.7125430707,5.37346108271,0.510200916277,0.373577032017
57,-10.6042963424,5.62325162532,0.389077098311,0.293830450778
66,-11.6675475207,5.89399586855,0.518540691548,0.386873367802
76,-20.2300046019,5.49814552606,0.638137804007,0.458343154492
86,-40.3937944493,5.70221205955,0.450070798775,0.326099188763
95,-53.4207603123,6.09550544451,0.380397558566,0.250678854613
105,-59.0925402615,6.29503575815,0.362249367511,0.225434286789
114,-61.4345575464,6.38260073483,0.355325029035,0.21666014061
124,-61.9575639772,6.40933230605,0.358257631205,0.215436550567
133,-62.8796110759,6.40536099921,0.353467250574,0.213770974047
143,-63.8225322034,6.33188145097,0.358860480387,0.217386679062
153,-63.898599835,6.33430512844,0.358165306621,0.215850969736
162,-64.6770164245,6.31713027758,0.355576540468,0.214093595097
172,-65.1489123794,6.35823910954,0.359268626381,0.215688097051
181,-65.4685596744,6.3817804632,0.358441746694,0.214977948156
191,-65.8341769153,6.41147572328,0.356899478445,0.21381306817
200,-66.1771431483,6.37597599153,0.356827497949,0.213645743134
