{0: 0.001}
{2859: ('2015-01-01', '2016-01-01'), 8292: ('2015-01-01', '2016-01-01'), 3413: ('2015-01-01', '2016-01-01'), 6990: ('2015-01-01', '2016-01-01'), 7951: ('2015-01-01', '2016-01-01')}
logTest,mseTest,maeTest, mseTestUnNorm, maeTestUnNorm
-136.458808092,0.561590762565,0.309525118433
q_z_dim,p_z_dim,p_x_dim,x2s_dim,y2s_dim,z2s_dim
200,150,150,100,100,100
epoch,log,kl,mse,mae
0,263.96,4.61,6.258,1.730
10,5.53,0.11,8.812,1.945
20,4.65,0.06,8.356,1.885
30,4.64,0.12,7.805,1.811
40,-9.18,0.73,7.427,1.755
50,91.42,0.52,5.925,1.497
60,-11.80,5.57,4.113,1.217
70,44.67,3.51,2.419,0.802
80,11.99,3.54,1.545,0.646
90,-88.64,4.62,1.247,0.552
100,-94.69,5.41,1.067,0.503
110,-45.75,5.43,0.890,0.472
120,-113.12,5.46,0.646,0.389
130,-111.86,6.47,0.556,0.360
140,-88.36,6.77,0.391,0.303
150,-127.32,8.15,0.320,0.271
160,-125.09,7.63,0.240,0.233
170,-115.64,8.55,0.230,0.228
180,-138.65,9.82,0.180,0.201
190,-128.03,9.19,0.184,0.206
200,-131.87,8.96,0.167,0.190
210,-151.95,9.73,0.168,0.192
220,-147.82,10.36,0.147,0.178
230,-131.93,11.27,0.146,0.175
240,-164.35,9.45,0.169,0.192
250,-156.18,10.85,0.165,0.185
260,-136.55,11.65,0.135,0.169
270,-173.46,11.08,0.121,0.151
280,-165.04,11.07,0.132,0.159
290,-145.58,10.35,0.140,0.165
300,-175.18,12.26,0.142,0.170
310,-175.32,11.66,0.125,0.151
320,-155.99,11.14,0.129,0.157
330,-188.33,13.25,0.130,0.153
340,-182.47,11.46,0.117,0.142
350,-163.74,10.81,0.112,0.139
360,-191.69,13.18,0.134,0.157
370,-188.82,11.53,0.127,0.143
380,-169.63,10.80,0.130,0.154
390,-195.61,10.84,0.125,0.149
400,-189.88,10.16,0.135,0.153
410,-167.39,9.83,0.138,0.153
420,-199.47,10.48,0.129,0.144
430,-189.73,9.23,0.118,0.138
440,-169.18,11.48,0.127,0.143
450,-203.12,10.84,0.104,0.121
460,-191.57,12.18,0.137,0.143
470,-175.12,11.37,0.127,0.140
480,-206.41,10.31,0.112,0.124
490,-197.88,9.98,0.118,0.132
500,-171.30,11.68,0.141,0.147
510,-206.76,10.02,0.118,0.135
520,-198.96,10.08,0.121,0.133
530,-177.98,10.40,0.127,0.135
540,-209.16,10.01,0.119,0.132
550,-203.25,9.76,0.139,0.141
560,-182.72,10.27,0.125,0.137
570,-213.61,10.95,0.122,0.128
580,-209.09,10.78,0.115,0.120
590,-187.08,11.99,0.120,0.127
600,-210.83,12.28,0.113,0.123
