/data/home/gbejara1/Documents/Research/Disaggregation/Dataport/VRNN_theano_version/output/allAtOnce/18-06-14_10-53_3413/dp_disall-sch_1_best.pkl,,,,,,,,,,,,,,,,,,
{0: 0.001},,,,,,,,,,,,,,,,,,
['air1', 'furnace1', 'refrigerator1', 'clotheswasher1', 'drye1', 'dishwasher1', 'kitchenapp1', 'microwave1'],,,,,,,,,,,
{3413: ('2015-01-01', '2016-01-01')},,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
logTest,mse1_test,mse2_test,mse3_test,mse4_test,mse5_test, mse6_test,mse7_test,mse8_test,mae1_test,mae2_test,mae3_test,mae4_test,mae5_test, mae6_test,mae7_test,mae8_test,mseTest,maeTest
-2799.026,0.075,0.01,0.034,0,0.07,0.014,0.001,0.003,0.073,0.035,0.126,0.003,0.02,0.014,0.002,0.009,0.026,0.035
,,,,,,,,,,,,,,,,,,
relErr1,relErr2,relErr3,relErr4,relErr5,relErr6,relErr7,relErr8,propAssigned1,propAssigned2,propAssigned3,propAssigned4,propAssigned5,,,,,,
0.0449120248,-0.0301848888,-0.935842599,-1.0235476188,-0.0285331393,-1.0392125637,-0.9273020943,-0.971814577,0.9488245652,0.9755730193,0.9115786388,0.9980405814,0.9860642105,0.990536916,0.9988931859,0.9934437575,,,
batch,perReal1,perReal2,perReal3,perReal4,perReal5,perReal6,perReal7,perReal8,perPredict1,perPredict2,perPredict3,perPredict4,perPredict5,perPredict6,perPredict7,perPredict8,,
0,0.3187,0.5074,0.1469,0.0005,0.0070,0.0083,0.0007,0.0105,0.3361,0.4974,0.0679,0.0011,0.0072,0.0055,0.0005,0.0042,,
1,0.2947,0.4890,0.1448,0.0007,0.0382,0.0200,0.0013,0.0115,0.3056,0.4795,0.0692,0.0013,0.0345,0.0076,0.0004,0.0047,,
2,0.3172,0.4739,0.1347,0.0022,0.0478,0.0136,0.0014,0.0092,0.3245,0.4654,0.0661,0.0009,0.0455,0.0067,0.0005,0.0041,,
3,0.3073,0.5100,0.1435,0.0021,0.0135,0.0122,0.0012,0.0102,0.3251,0.5016,0.0704,0.0011,0.0121,0.0047,0.0007,0.0046,,
4,0.3214,0.4930,0.1399,0.0017,0.0282,0.0058,0.0010,0.0090,0.3346,0.4858,0.0653,0.0009,0.0270,0.0036,0.0005,0.0038,,
5,0.3691,0.4739,0.1305,0.0011,0.0023,0.0124,0.0012,0.0096,0.3760,0.4653,0.0617,0.0011,0.0090,0.0056,0.0007,0.0041,,
6,0.3097,0.4621,0.1330,0.0015,0.0767,0.0074,0.0013,0.0084,0.3361,0.4578,0.0610,0.0010,0.0633,0.0035,0.0006,0.0041,,
7,0.3177,0.4477,0.1271,0.0024,0.0748,0.0214,0.0006,0.0082,0.3432,0.4405,0.0589,0.0010,0.0768,0.0054,0.0008,0.0038,,
8,0.3461,0.4581,0.1263,0.0019,0.0476,0.0088,0.0021,0.0091,0.3592,0.4508,0.0598,0.0011,0.0393,0.0036,0.0005,0.0036,,
9,0.3091,0.4960,0.1381,0.0037,0.0350,0.0079,0.0011,0.0090,0.3250,0.4873,0.0639,0.0013,0.0296,0.0030,0.0002,0.0048,,
AVG,0.3211,0.4811,0.1365,0.0018,0.0371,0.0118,0.0012,0.0095,0.3365,0.4731,0.0644,0.0011,0.0344,0.0049,0.0006,0.0042,,
,,,,,,,,,,,,,,,,,,
,0.3210964291,0.4811065418,0.1364832559,0.0371094659,0.0242043073,,,,0.336525682,0.4731499973,0.0644025855,0.0344228228,0.0107123953,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,0.91,,,,,,,,,,,,
