{0: 0.01, 40: 0.001},,,,,,,,,,,,,,,,,,,
['air1', 'furnace1', 'refrigerator1', 'clotheswasher1', 'drye1', 'dishwasher1', 'kitchenapp1', 'microwave1'],,,,,,,,,,,,,
{6990: ('2015-01-01', '2016-01-01')},,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
logTest,mse1_test,mse2_test,mse3_test,mse4_test,mse5_test, mse6_test,mse7_test,mse8_test,mae1_test,mae2_test,mae3_test,mae4_test,mae5_test, mae6_test,mae7_test,mae8_test,mseTest,maeTest,,
-2822.619,0.042,0.162,0.027,0.004,0.04,0.021,0.001,0.014,0.026,0.159,0.106,0.008,0.016,0.013,0.004,0.017,0.039,0.043,,
,,,,,,,,,,,,,,,,,,,,
relErr1,relErr2,relErr3,relErr4,relErr5,relErr6,relErr7,relErr8,propAssigned1,propAssigned2,propAssigned3,propAssigned4,propAssigned5,,,,,,,,
-0.0098251606,-1.0088872512,-1.003985065,-1.0305835059,0.0489462705,-1.0337882749,-0.9355396183,-1.0065340635,0.9805272859,0.8810941394,0.9206784397,0.9942389425,0.9883875316,0.9902744735,0.9972044295,0.9871438737,,,,,
q_z_dim,p_z_dim,p_x_dim,x2s_dim,y2s_dim,z2s_dim,,,,,,,,,,,,,,,
500,500,500,200,200,200,,,,,,,,,,,,,,,
epoch,log,kl,mse1,mse2,mse3,mse4,mse5,mse6,mse7,mse8,mae1,mae2,mae3,mae4,mae5,mae6,mae7,mae8,MSE,MAE
0,493.52,18.5,1.967,1.197,1.117,1.136,1.544,1.088,1.12,1.033,1.056,0.868,0.839,0.848,0.918,0.828,0.839,0.806,1.2753,0.8753
10,-2725.26,3.57,0.333,0.149,0.022,0.004,0.24,0.018,0.001,0.014,0.166,0.165,0.101,0.007,0.061,0.015,0.004,0.018,0.0976,0.0671
20,-2780.55,1.58,0.104,0.16,0.027,0.004,0.122,0.021,0.001,0.011,0.066,0.161,0.109,0.007,0.039,0.015,0.005,0.016,0.0563,0.0523
30,-2783.99,0.46,0.12,0.173,0.029,0.003,0.086,0.015,0.001,0.015,0.082,0.167,0.111,0.008,0.029,0.012,0.005,0.018,0.0553,0.0540
40,-2800.13,1.44,0.055,0.169,0.028,0.003,0.078,0.017,0.001,0.015,0.045,0.163,0.108,0.007,0.031,0.012,0.004,0.018,0.0458,0.0485
50,-2808.67,0.32,0.048,0.163,0.026,0.003,0.054,0.019,0.001,0.014,0.034,0.16,0.106,0.007,0.02,0.013,0.004,0.018,0.0410,0.0453
60,-2811.23,0.66,0.044,0.165,0.027,0.004,0.045,0.019,0.001,0.014,0.031,0.16,0.106,0.007,0.018,0.013,0.004,0.018,0.0399,0.0446
70,-2812.94,0.87,0.044,0.165,0.027,0.004,0.045,0.019,0.001,0.013,0.03,0.161,0.107,0.007,0.018,0.013,0.004,0.017,0.0398,0.0446
80,-2814.34,0.61,0.045,0.168,0.027,0.003,0.043,0.019,0.001,0.013,0.03,0.162,0.107,0.007,0.017,0.013,0.004,0.017,0.0399,0.0446
90,-2813.69,0.69,0.045,0.167,0.026,0.004,0.048,0.02,0.001,0.014,0.03,0.162,0.105,0.007,0.018,0.013,0.004,0.017,0.0406,0.0445
100,-2816.42,0.54,0.043,0.168,0.026,0.003,0.045,0.019,0.001,0.013,0.028,0.161,0.105,0.007,0.017,0.013,0.004,0.017,0.0398,0.0440
110,-2817.07,0.7,0.045,0.164,0.027,0.003,0.046,0.02,0.001,0.014,0.029,0.16,0.106,0.007,0.017,0.013,0.004,0.018,0.0400,0.0443
120,-2818.22,0.52,0.041,0.163,0.026,0.003,0.043,0.019,0.001,0.015,0.027,0.16,0.105,0.007,0.017,0.013,0.004,0.018,0.0389,0.0439
130,-2818.3,0.38,0.043,0.165,0.027,0.004,0.045,0.019,0.001,0.014,0.027,0.16,0.106,0.007,0.017,0.013,0.004,0.017,0.0398,0.0439
140,-2819.38,0.39,0.042,0.162,0.026,0.003,0.045,0.018,0.001,0.015,0.027,0.159,0.104,0.006,0.017,0.013,0.004,0.017,0.0390,0.0434
150,-2819.91,0.37,0.042,0.164,0.026,0.004,0.04,0.02,0.001,0.014,0.027,0.16,0.104,0.007,0.015,0.013,0.004,0.017,0.0389,0.0434
160,-2819.3,7.97,0.043,0.165,0.027,0.004,0.049,0.018,0.001,0.013,0.027,0.16,0.105,0.006,0.018,0.013,0.004,0.017,0.0400,0.0438
170,-2820.27,0.41,0.043,0.161,0.026,0.004,0.046,0.019,0.001,0.015,0.027,0.158,0.104,0.007,0.017,0.013,0.004,0.018,0.0394,0.0435
180,-2821.5,0.84,0.038,0.165,0.026,0.004,0.047,0.02,0.001,0.015,0.025,0.161,0.105,0.007,0.017,0.013,0.004,0.018,0.0395,0.0438
190,-2821.88,0.59,0.04,0.161,0.026,0.004,0.044,0.019,0.001,0.014,0.026,0.159,0.104,0.007,0.016,0.013,0.003,0.017,0.0386,0.0431
200,-2821.76,2.97,0.044,0.163,0.026,0.004,0.047,0.02,0.001,0.016,0.026,0.159,0.105,0.007,0.017,0.013,0.003,0.018,0.0401,0.0435
,,,,,,,,,,,,,,,,,,,,
batch,perReal1,perReal2,perReal3,perReal4,perReal5,perReal6,perReal7,perReal8,perPredict1,perPredict2,perPredict3,perPredict4,perPredict5,perPredict6,perPredict7,perPredict8,,,,
0,0.5790144919,0.2055659181,0.1140045361,0.0040233736,0.0502724144,0.0260045062,0.001034651,0.0200801087,0.569105419,-0.0118345674,-0.0005965396,-0.0006315913,0.0573506672,-0.000019074,0.0004751264,-0.0004050718,,,,
1,0.4706289433,0.1824024662,0.1257031265,0.0043314492,0.1750478399,0.0227145156,0.0031588797,0.0160127798,0.4701887933,-7.36602051506E-005,0.0014025995,0.0008326354,0.1723867704,-0.0014286574,-6.43445538953E-005,0.0001507641,,,,
2,0.4847300253,0.1951326541,0.1387149819,0.0095894673,0.1348940182,0.0130585828,0.0061853062,0.0176949643,0.4734351039,0.0053266646,-0.0014947404,-0.0003475377,0.1415251389,0.0007269784,-0.000592281,0.0007635552,,,,
3,0.4649828758,0.1936524758,0.1178528671,0.0077263889,0.1928206454,0.0050820375,0.0028802716,0.0150024379,0.4603321154,-0.005226911,-0.00226784,-0.000635675,0.1952961547,5.78433650738E-005,0.0002487113,0.0001161311,,,,
4,0.5460844224,0.2194608591,0.1410694242,0.0038618138,0.0654695275,0.0062148301,0.0037334628,0.0141056602,0.5372083753,0.0013663674,0.0015177986,-0.0002667949,0.0727121889,-0.0011101688,0.0001772457,0.0022720424,,,,
5,0.5302093468,0.2017440749,0.1229033826,0.0038098247,0.1149162103,0.0040159571,0.005460974,0.0169402296,0.5294554006,-0.0004594114,0.0005019302,-0.0005076378,0.1132842088,0.0012906503,0.0004267812,-0.0010927449,,,,
6,0.4978062555,0.1953366266,0.126034461,0.0091593259,0.1488242397,0.0060258023,0.0027492965,0.0140639925,0.493795012,-0.0022701471,-0.0011833299,-0.0009782029,0.1449722415,-0.0017832063,4.21893069751E-005,-0.0002414924,,,,
7,0.4697498177,0.2132249471,0.1448667539,0.0078386388,0.1219089948,0.0161495646,0.0046222277,0.0216390554,0.4676460392,0.0012128935,-0.0002364771,0.0001025268,0.123001828,-0.0026039183,-0.0010142894,-0.0008329027,,,,
8,0.5325040011,0.2190229401,0.154439264,0.007414301,0.0307313393,0.0298195458,0.0030856738,0.0229829348,0.5265700989,-0.0009226163,-0.0012897919,5.39577855601E-005,0.0414156473,0.0002840418,0.0006587155,-0.0007984406,,,,
9,0.4673506318,0.1827595436,0.116302548,0.0087688122,0.1987577974,0.0084475161,0.0024812629,0.0151318879,0.4647598999,-0.0045703572,-0.0013058327,0.0005805064,0.1978293287,-0.0003075993,0.0001988874,-0.001689321,,,,
