{0: 0.01, 75: 0.001, 150: 0.0001}
{2859: ('2015-01-01', '2016-01-01')}
logTest,mseTest,maeTest
-382.516819254,3.84369069636,0.96093192954
q_z_dim,p_z_dim,p_x_dim,x2s_dim,y2s_dim,z2s_dim
150,150,150,100,100,100
epoch,log,kl,mse,mae
0,208.340370188,0.763782023447,2.50655882888,1.08102261281
9,-73.0447785709,0.0866093263615,1.90266153765,0.664206434963
19,-299.209683706,0.0017544383948,2.21043841883,0.670921497827
28,-368.832552091,0.000692002103288,2.19366891009,0.706339549059
38,-147.585393022,0.000570835518602,2.19259990316,0.707612280726
47,-79.4938070377,0.0004206331214,3.08228309627,0.83682221997
57,-208.249823129,0.000491607885571,2.4336031326,0.798873253045
66,-288.454216937,0.000435556699096,2.06082041044,0.694556416829
76,-368.558077808,0.00073352061174,2.04548310369,0.690741202736
86,-438.337209863,0.00187074871291,1.9383227211,0.650146443853
95,-494.966961355,0.00179994168125,1.94542994943,0.656394970286
105,-417.408778164,0.00183271052548,2.03705123751,0.670971589547
114,-499.65667683,0.00190693836193,1.95454794862,0.663387084299
124,-414.52587504,0.00206060918584,2.01605978486,0.668092561068
133,-142.859812723,0.00248568656258,3.22250662275,0.823924309612
143,-332.696507289,0.00140175677109,3.5402213908,0.882166504354
153,-358.774037435,0.00141242490402,3.76420548373,0.945232010345
162,-394.30045207,0.00157580879047,3.65983055245,0.936595210181
172,-418.547368427,0.00168989232114,3.84018817605,0.962034620624
181,-437.120496207,0.00185735616163,3.80462634034,0.959728910254
191,-434.917977967,0.0020386964277,3.95383903395,0.980931811711
200,-423.56988119,0.0020039670352,3.94458492221,0.984982227542
