{0: 0.001, 75: 0.0001, 150: 1e-05}
{7951: ('2015-01-01', '2016-01-01')}
logTest,mseTest,maeTest
-263.339749871,0.711168513523,0.154438282225
q_z_dim,p_z_dim,p_x_dim,x2s_dim,y2s_dim,z2s_dim
150,150,150,100,100,100
epoch,log,kl,mse,mae
0,102.49503276,0.429886176789,2.18648164041,0.97918714496
10,18.0241489465,0.237794156038,1.66744403877,0.405647382103
20,-104.072882971,0.250238984496,1.69779104044,0.318497160063
30,-39.1969765827,0.162533507597,1.29562579121,0.369740106769
40,-137.192913863,0.14074693812,0.96417608638,0.308472232625
50,-226.381516278,0.112648114365,0.699999420663,0.146987901234
60,-248.607844351,0.139336189405,0.726431024336,0.144292179408
70,-55.6379379815,0.167197347113,1.17756478397,0.347342806924
80,-167.425437172,0.218035682779,0.780626730686,0.229340196334
90,-221.531693224,0.214184882161,0.719030761902,0.190630193574
100,-245.511025137,0.229057070485,0.699734310991,0.172695344648
110,-147.361825633,0.192805681798,0.678935642496,0.169663985524
120,-166.604321051,0.164784137813,0.688352907986,0.169847398747
130,-251.601141994,0.178444174015,0.658154390624,0.156059481349
140,-256.840023206,0.163247770454,0.646305284106,0.151578848991
150,-261.388183058,0.156442095157,0.631948594162,0.1479997939
160,-264.719276873,0.153156675496,0.649990338477,0.148538742305
170,-265.419358195,0.150075143464,0.650126689252,0.148765154806
180,-266.608595645,0.14718248256,0.637434939499,0.144372026525
190,-267.133764203,0.145006958606,0.647516148772,0.145861637372
200,-267.430644535,0.143196130299,0.666812164794,0.148616493095
