epoch,log,kl,nll_upper_bound,mse,mae
1,18.6601720192,0.0429990682685,18.7031710875,1.62146727882,1.01195200466,
2,5.35534712527,0.00155392669074,5.35690105196,0.73818707272,0.569334392065,
3,-1.1128681228,0.00561668905202,-1.10725143375,0.603468171682,0.47203483232,
4,4.59678849199,0.00139503102557,4.59818352301,0.795793305889,0.590250891167,
5,-6.43040358082,0.000383052228989,-6.43002052859,0.627438832973,0.454289746797,
6,-9.03386215255,3.82739935023e-05,-9.03382387855,0.586634558284,0.421795652132,
7,-8.09424534363,3.49477725091e-06,-8.09424184886,0.622509820974,0.4461616714,
8,-7.1846724776,5.23212240112e-07,-7.18467195439,1.01863598302,0.621587410854,
9,-11.6218569975,5.26846760648e-07,-11.6218564707,0.839208046254,0.542241000575,
10,-1.85876998139,1.15819815396e-06,-1.8587688232,0.792281757915,0.531512094848,
11,-4.77128747714,4.60197222359e-06,-4.77128287517,0.614024473514,0.452549442183,
12,0.310478636173,2.45126567763e-06,0.310481087438,0.672528162613,0.500275995549,
13,-4.19519378724,1.26330784304e-06,-4.19519252393,0.604541768701,0.426308882352,
14,5.2747484981,6.35576579134e-07,5.27474913368,0.707312412479,0.523930873785,
15,0.208298090809,3.56452148087e-07,0.208298447261,0.609495259961,0.457598332472,
16,15.4681808485,2.32885253334e-06,15.4681831774,1.34786835318,0.798255292959,
17,-2.53082712992,1.26027337619e-06,-2.53082586964,0.559031488838,0.444512003813,
18,10.5303772485,4.27702082724e-07,10.5303776762,0.756694809432,0.597187246357,
19,4.6922834827,7.78409408519e-05,4.69236132364,0.675248044399,0.53146999027,
20,1.79226791246,0.000107913402939,1.79237582586,0.687352027196,0.539957329238,
21,-7.58001649793,4.43192340504e-06,-7.58001206601,0.664552249792,0.4688959376,
22,1.2357431932,0.00931231586034,1.24505550906,0.634130467159,0.494885382178,
23,-7.16024048166,0.00320158267203,-7.15703889899,0.657787543729,0.461440285211,
24,-8.74150908352,0.00490892377196,-8.73660015975,0.637985538662,0.439245108103,
25,-14.118030045,0.000209431579962,-14.1178206135,0.649318099386,0.432244314113,
26,7.92633083826,7.13625163228e-06,7.92633797451,0.864068513372,0.626979077363,
27,-7.49998966783,3.19451020225e-07,-7.49998934838,0.772345232268,0.537255754177,
