{0: 0.0001}
{2859: ('2015-01-01', '2016-01-01'), 8292: ('2015-01-01', '2016-01-01'), 3413: ('2015-01-01', '2016-01-01'), 6990: ('2015-01-01', '2016-01-01'), 7951: ('2015-01-01', '2016-01-01')}
logTest,mseTest,maeTest, mseTestUnNorm, maeTestUnNorm
1.74177348488,0.97266001883,0.581340971792,3.71822496167,1.13662768769
q_z_dim,p_z_dim,p_x_dim,x2s_dim,y2s_dim,z2s_dim
150,150,150,100,100,100
epoch,log,kl,mse,mae
0,7.10,0.08,2.071,1.109
6,5.41,0.00,2.194,1.030
12,4.28,0.00,2.067,0.957
18,4.12,0.01,1.986,0.929
25,4.11,0.02,1.986,0.943
31,4.02,0.03,1.984,0.930
37,3.91,0.04,1.992,0.925
44,3.88,0.05,2.139,0.955
50,3.82,0.05,2.028,0.925
56,3.74,0.07,2.010,0.917
63,3.77,0.07,1.974,0.909
69,3.64,0.07,1.989,0.902
75,3.47,0.11,1.979,0.891
82,3.33,0.11,1.896,0.865
88,3.21,0.10,1.856,0.847
94,3.00,0.12,1.776,0.824
101,2.82,0.14,1.783,0.815
107,2.37,0.16,1.386,0.724
113,2.13,0.21,1.308,0.700
120,2.05,0.20,1.192,0.665
126,2.17,0.24,1.043,0.624
132,1.85,0.24,1.078,0.622
138,1.92,0.27,1.025,0.623
145,1.88,0.31,0.940,0.603
151,1.69,0.31,0.886,0.582
157,1.49,0.31,0.935,0.583
164,1.47,0.39,0.895,0.572
170,1.44,0.34,0.840,0.562
176,1.32,0.38,0.815,0.556
183,1.27,0.38,0.849,0.555
189,1.23,0.39,0.825,0.550
195,1.13,0.42,0.813,0.545
200,1.19,0.39,0.824,0.546
