{0: 0.001},,,,,,,,,,,,,,,,,,,,
['air1', 'furnace1', 'refrigerator1', 'clotheswasher1', 'drye1', 'dishwasher1', 'kitchenapp1', 'microwave1'],,,,,,,,,,,,,
{6990: ('2015-01-01', '2016-01-01')},,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
logTest,mse1_test,mse2_test,mse3_test,mse4_test,mse5_test, mse6_test,mse7_test,mse8_test,mae1_test,mae2_test,mae3_test,mae4_test,mae5_test, mae6_test,mae7_test,mae8_test,mseTest,maeTest,,
-991.225,0.353,0.093,0.023,0.003,0.955,0.018,0.009,0.018,0.24,0.288,0.104,0.013,0.207,0.032,0.025,0.032,0.184,0.118,,
,,,,,,,,,,,,,,,,,,,,
relErr1,relErr2,relErr3,relErr4,relErr5,relErr6,relErr7,relErr8,propAssigned1,propAssigned2,propAssigned3,propAssigned4,propAssigned5,,,,,,,,
-0.2189577976,0.592960317,-0.5083880823,-0.3417955488,0.4535733664,0.3747468638,0.8052140417,-0.7650713413,0.8260598228,0.7909269555,0.924477258,0.9903007418,0.8503432846,0.977049694,0.9819365556,0.976516432,,,,,
q_z_dim,p_z_dim,p_x_dim,x2s_dim,y2s_dim,z2s_dim,,,,,,,,,,,,,,,
500,500,500,200,200,200,,,,,,,,,,,,,,,
epoch,log,kl,mse1,mse2,mse3,mse4,mse5,mse6,mse7,mse8,mae1,mae2,mae3,mae4,mae5,mae6,mae7,mae8,MSE,MAE
4,0.4909,0.1962,0.1307,0.0047,0.1442,0.0148,0.0007,0.0177,0.3934,0.4948,0.0632,0.0033,0.2453,0.0167,0.0197,0.0045,,,,
5,0.4965,0.1903,0.1228,0.0056,0.1404,0.0253,0.0035,0.0155,0.3940,0.4573,0.0614,0.0038,0.2384,0.0167,0.0178,0.0051,,,,
6,0.4667,0.1943,0.1310,0.0070,0.1546,0.0193,0.0055,0.0215,0.3975,0.4944,0.0706,0.0030,0.2288,0.0178,0.0175,0.0022,,,,
7,0.4650,0.1776,0.1186,0.0079,0.2024,0.0102,0.0010,0.0172,0.3887,0.4410,0.0595,0.0031,0.2484,0.0187,0.0181,0.0038,,,,
8,0.5385,0.2035,0.1399,0.0073,0.0859,0.0049,0.0019,0.0181,0.3960,0.5293,0.0667,0.0049,0.2357,0.0187,0.0222,0.0066,,,,
9,0.5068,0.1851,0.1145,0.0036,0.1531,0.0165,0.0047,0.0157,0.3949,0.4310,0.0585,0.0033,0.2461,0.0170,0.0189,0.0021,,,,
AVG,0.5119,0.1936,0.1272,0.0058,0.1290,0.0112,0.0035,0.0177,0.3980,0.4765,0.0625,0.0036,0.2336,0.0180,0.0184,0.0041,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
/home/gissella/Documents/Research/Disaggregation/PecanStreet-dataport/VRNN_theano_version/output/allAtOnce/18-06-11_19-48/dp_disall-sch_1_best.pkl,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,REAL,,,,,,,PREDICTED,,,,,,,,,,
