{0: 0.001},,,,,,,,,,,,,,,,,,,,
['air1', 'furnace1', 'refrigerator1', 'clotheswasher1', 'drye1', 'dishwasher1', 'kitchenapp1', 'microwave1'],,,,,,,,,,,,,
41,-2919.54,0.54,0.008,0.051,0.017,0.001,0.013,0.003,0,0.007,0.016,0.074,0.078,0.003,0.007,0.003,0.001,0.015,0.0125,0.0246
47,-2924.26,0.72,0.007,0.049,0.016,0.001,0.008,0.002,0,0.007,0.013,0.074,0.076,0.003,0.006,0.002,0.001,0.014,0.0113,0.0236
52,-2927.9,0.67,0.006,0.05,0.017,0.001,0.005,0.002,0,0.007,0.012,0.074,0.075,0.002,0.004,0.002,0.001,0.015,0.0110,0.0231
57,-2938.96,3,0.008,0.008,0.017,0.001,0.005,0.002,0,0.008,0.015,0.029,0.075,0.002,0.005,0.002,0.001,0.016,0.0061,0.0181
62,-2949.23,1.15,0.006,0.003,0.017,0.001,0.004,0.002,0,0.006,0.011,0.017,0.074,0.002,0.004,0.002,0.001,0.014,0.0049,0.0156
68,-2942.52,0.85,0.005,0.014,0.016,0.001,0.005,0.002,0,0.006,0.01,0.037,0.073,0.003,0.004,0.002,0.001,0.014,0.0061,0.0180
73,-2943.75,0.72,0.005,0.012,0.016,0.001,0.004,0.002,0,0.006,0.01,0.034,0.073,0.002,0.004,0.002,0.001,0.014,0.0058,0.0175
78,-2950.63,3.06,0.007,0.003,0.016,0.001,0.003,0.002,0,0.007,0.014,0.019,0.073,0.002,0.003,0.002,0.001,0.015,0.0049,0.0161
83,-2954.06,0.86,0.006,0.003,0.016,0.001,0.004,0.002,0,0.007,0.01,0.017,0.072,0.003,0.003,0.002,0.001,0.015,0.0049,0.0154
89,-2930.88,11.04,0.005,0.002,0.016,0.001,0.005,0.002,0,0.006,0.01,0.018,0.074,0.003,0.003,0.002,0.001,0.014,0.0046,0.0156
94,-2954.05,1.57,0.005,0.003,0.017,0.001,0.004,0.002,0,0.007,0.01,0.017,0.075,0.003,0.003,0.002,0.001,0.015,0.0049,0.0158
99,-2919.12,2.43,0.006,0.004,0.017,0.001,0.01,0.002,0,0.008,0.011,0.023,0.074,0.003,0.006,0.002,0.001,0.015,0.0060,0.0169
104,-2957.13,0.49,0.005,0.002,0.017,0.001,0.004,0.002,0,0.007,0.009,0.016,0.074,0.002,0.004,0.002,0.001,0.015,0.0048,0.0154
110,-2967.25,0.67,0.005,0.002,0.016,0.001,0.005,0.002,0,0.006,0.009,0.014,0.073,0.002,0.004,0.002,0.001,0.014,0.0046,0.0149
115,-2968.89,0.8,0.004,0.002,0.016,0.001,0.004,0.002,0,0.007,0.008,0.013,0.073,0.003,0.003,0.002,0.001,0.014,0.0045,0.0146
120,-2968.88,1.01,0.005,0.002,0.016,0.001,0.004,0.002,0,0.006,0.009,0.014,0.073,0.002,0.004,0.002,0.001,0.014,0.0045,0.0149
125,-2969.78,0.62,0.004,0.002,0.016,0.001,0.004,0.002,0,0.007,0.009,0.014,0.073,0.002,0.003,0.002,0.001,0.015,0.0045,0.0149
130,-2966.59,1.69,0.005,0.002,0.017,0.001,0.004,0.002,0,0.007,0.011,0.015,0.075,0.002,0.004,0.002,0.001,0.015,0.0048,0.0156
136,-2961.59,4.54,0.005,0.003,0.016,0.001,0.006,0.002,0,0.007,0.009,0.018,0.073,0.002,0.003,0.002,0.001,0.015,0.0050,0.0154
141,-2970.9,0.73,0.004,0.002,0.016,0.001,0.006,0.002,0,0.007,0.008,0.014,0.073,0.002,0.003,0.002,0.001,0.015,0.0048,0.0148
146,-2966.31,1.38,0.004,0.002,0.016,0.001,0.006,0.002,0,0.008,0.008,0.013,0.073,0.002,0.004,0.002,0.001,0.015,0.0049,0.0148
151,-2971.01,1.21,0.005,0.002,0.016,0.001,0.004,0.002,0,0.008,0.008,0.014,0.073,0.002,0.003,0.002,0.001,0.015,0.0048,0.0148
157,-2971.85,0.78,0.005,0.002,0.016,0.001,0.006,0.002,0,0.007,0.008,0.013,0.072,0.002,0.003,0.002,0.001,0.014,0.0049,0.0144
162,-2968.05,1.44,0.005,0.002,0.017,0.001,0.005,0.002,0,0.008,0.009,0.014,0.074,0.002,0.003,0.002,0.001,0.015,0.0050,0.0150
167,-2973.59,0.8,0.004,0.002,0.016,0.001,0.007,0.002,0,0.007,0.008,0.013,0.073,0.002,0.003,0.002,0.001,0.015,0.0049,0.0146
172,-2976.57,0.86,0.004,0.002,0.016,0.001,0.006,0.002,0,0.008,0.008,0.013,0.073,0.002,0.003,0.002,0.001,0.015,0.0049,0.0146
178,-2973.34,0.86,0.004,0.002,0.017,0.001,0.007,0.002,0,0.007,0.008,0.013,0.073,0.002,0.003,0.002,0.001,0.014,0.0050,0.0145
183,-2973.8,1.16,0.004,0.002,0.016,0,0.008,0.002,0,0.007,0.008,0.013,0.072,0.002,0.003,0.002,0.001,0.015,0.0049,0.0145
188,-2965.92,4.68,0.005,0.002,0.016,0.001,0.01,0.002,0,0.008,0.009,0.015,0.073,0.003,0.006,0.002,0.001,0.015,0.0055,0.0155
193,-2955.02,3.9,0.005,0.002,0.017,0.001,0.005,0.002,0,0.006,0.009,0.014,0.074,0.002,0.003,0.002,0.001,0.014,0.0048,0.0149
199,-2976.12,0.95,0.005,0.002,0.017,0.001,0.005,0.002,0,0.006,0.009,0.013,0.074,0.002,0.003,0.002,0.001,0.014,0.0048,0.0148
200,-2976.7,0.88,0.004,0.002,0.016,0.001,0.01,0.003,0,0.007,0.008,0.013,0.073,0.002,0.003,0.002,0.001,0.015,0.0054,0.0146
,,,,,,,,,,,,,,,,,,,,
batch,perReal1,perReal2,perReal3,perReal4,perReal5,perReal6,perReal7,perReal8,perPredict1,perPredict2,perPredict3,perPredict4,perPredict5,perPredict6,perPredict7,perPredict8,,,,
0,0.3842875024,0.2533363164,0.2274011473,0.0055125549,0.0842715728,0.0037369851,0.0023661313,0.0390877897,0.3852215571,0.2193590279,0.0002281944,0.0002030808,0.0863359193,-0.0022437884,0.0001231676,-0.0008313368,,,,
1,0.3873146024,0.2393902339,0.2275952503,0.006520434,0.0877515941,0,0.0031458345,0.0482820508,0.3857116094,0.2084317756,-0.0027474447,6.78391830469E-005,0.0930319477,-0.0011362631,-8.28402292399E-005,-0.0016167656,,,,
2,0.3819291626,0.2440578837,0.2775629039,0.0006932377,0.0390777403,0,0.0019514991,0.0547275726,0.3846180607,0.2110995582,0.0015057975,-0.0003236135,0.0449299413,0.0001579299,1.39306346298E-005,-0.0032262763,,,,
3,0.3886729834,0.2274910781,0.2232512031,0.0071563418,0.1065479922,0.0119770258,0.0011858561,0.0337175196,0.3853647388,0.2029853994,0.0009527511,-0.0004440068,0.1016360326,0.0012889547,2.98422408142E-005,-0.0001828223,,,,
4,0.4185733521,0.2262769716,0.2206077729,0.0075301968,0.0828435002,0.001851453,0.0016626388,0.0406541144,0.4182114265,0.2007416485,-0.0040201176,-0.0010111567,0.0819990096,-0.0002552054,-5.92363999042E-005,0.0017340771,,,,
5,0.3539250046,0.2259032867,0.229768896,0.0068888024,0.1220907135,0.0160740907,0.0019254294,0.0434237767,0.3495905062,0.1995514639,0.0040760559,-0.000030604,0.1245533939,0.0011309716,-5.80083792968E-005,0.0009410622,,,,
6,0.3791570124,0.223285613,0.2102585285,0.0045057323,0.1370779623,0,0.0017776714,0.04393748,0.3873714625,0.1974610655,-0.0021013197,0.0001508046,0.1377700892,0.0008821972,-2.21111392422E-005,0.0007644743,,,,
7,0.3763871992,0.2201549244,0.2306609335,0.0072712034,0.1190324771,0.0019950729,0.0014356775,0.043062512,0.3801303002,0.1921674026,0.0048754783,0.0001031275,0.1222785162,-0.00204632,-1.69281528287E-005,0.0021270484,,,,
8,0.3843379747,0.244376711,0.265316683,0.0077845961,0.044527983,0,0.0027632048,0.0508928474,0.3829129748,0.2082956428,0.0011693123,-0.0008213258,0.049110514,4.82179097705E-005,-4.37332511947E-005,-0.0001747047,,,,
9,0.427108828,0.2511371891,0.2457292453,0.0020032139,0.0247149773,0,0.0015886294,0.0477179171,0.4265483324,0.2222478821,-0.0003610027,-0.0002937952,0.0247841269,0.0001664306,-8.9151819363E-005,0.0015405326,,,,
