{0: 0.001}
{2859: ('2015-01-01', '2016-01-01'), 8292: ('2015-01-01', '2016-01-01'), 3413: ('2015-01-01', '2016-01-01'), 6990: ('2015-01-01', '2016-01-01'), 7951: ('2015-01-01', '2016-01-01')}
logTest,mseTest,maeTest, mseTestUnNorm, maeTestUnNorm
-209.184014968,0.285115775684,0.125871255537
q_z_dim,p_z_dim,p_x_dim,x2s_dim,y2s_dim,z2s_dim
150,150,150,100,100,100
epoch,log,kl,mse,mae
0,100.75,3.60,1.766,0.949
10,-31.35,0.01,1.098,0.376
20,-72.95,0.01,1.101,0.295
30,-100.92,0.02,0.963,0.269
40,-113.58,0.02,0.804,0.238
50,-116.90,0.03,0.665,0.211
60,-135.27,0.01,0.528,0.179
70,-127.61,0.01,0.440,0.160
80,-134.06,0.02,0.379,0.148
90,-123.41,0.10,0.366,0.157
100,-141.45,0.02,0.372,0.159
110,-112.53,0.03,0.332,0.143
120,-141.79,0.02,0.327,0.137
130,-118.68,0.03,0.317,0.141
140,-173.86,0.03,0.307,0.144
150,-195.91,0.03,0.278,0.125
160,-202.87,0.03,0.276,0.124
170,-210.01,0.03,0.265,0.118
180,-179.81,0.03,0.269,0.124
190,-204.27,0.02,0.301,0.129
200,-209.74,0.02,0.284,0.125
