{0: 0.001},,,,,,,,,,,,,,,,,,
93,-827.85,1.79,0.226,0.022,0.014,0.024,0.352,0.027,0.02,0.367,0.235,0.071,0.073,0.109,0.101,0.061,0.039,0.478
103,-1366.38,0.85,0.165,0.016,0.014,0.007,0.296,0.022,0.013,0.041,0.138,0.06,0.071,0.031,0.077,0.039,0.03,0.079
114,-1436.3,14.64,0.181,0.016,0.031,0.004,0.246,0.02,0.011,0.023,0.142,0.057,0.118,0.02,0.066,0.032,0.026,0.082
124,-1534.33,0.28,0.166,0.02,0.03,0.003,0.227,0.017,0.008,0.011,0.132,0.062,0.082,0.015,0.062,0.029,0.016,0.028
134,-981.78,3.42,0.164,0.019,0.051,0.003,0.326,0.017,0.007,0.011,0.139,0.062,0.164,0.017,0.151,0.027,0.018,0.038
145,-1512.23,1.61,0.148,0.018,0.021,0.003,0.233,0.018,0.007,0.011,0.129,0.061,0.07,0.017,0.073,0.03,0.019,0.025
155,-1550.68,1.08,0.145,0.02,0.016,0.003,0.216,0.016,0.005,0.119,0.123,0.06,0.057,0.013,0.058,0.026,0.012,0.231
166,-1362.82,0.66,0.138,0.018,0.014,0.003,0.236,0.017,0.044,0.016,0.122,0.06,0.066,0.021,0.069,0.029,0.143,0.041
176,-1431.58,0.54,0.136,0.013,0.017,0.002,0.216,0.016,0.008,0.011,0.117,0.052,0.069,0.011,0.062,0.03,0.022,0.026
batch,perReal1,perReal2,perReal3,perReal4,perReal5,perReal6,perReal7,perReal8,perPredict1,perPredict2,perPredict3,perPredict4,perPredict5,perPredict6,perPredict7,perPredict8,,
0,0.293508528,0.4694162948,0.1350934481,0.0028012779,0.0574962954,0.0318314064,0.0007374415,0.009115308,0.310107308,0.5012162564,0.1458865387,0.0019346204,0.0448759867,0.0155882144,0.0154624484,0.0053207863,,
1,0.3529085577,0.4679897688,0.1325495875,0.0012695584,0.0267419209,0.0105730977,0.0012106676,0.0067568414,0.3264426019,0.4611456758,0.1471127781,0.0024829203,0.0324201073,0.0142182213,0.0156676251,0.0058644145,,
2,0.3110823999,0.4779466042,0.1398708993,0.002535546,0.0490387591,0.0081492241,0.0013498565,0.0100267108,0.2946618078,0.4809985342,0.1521423015,0.0034608034,0.0508563013,0.0147037715,0.0168388113,0.0050691065,,
3,0.3130278885,0.4432477376,0.1281716609,0.0022005826,0.0986238464,0.0038677323,0.0008819439,0.0099786078,0.3163399718,0.4432060593,0.1400233955,0.0027890176,0.071644703,0.0129096129,0.0152090313,0.0058695999,,
4,0.2948980326,0.4990122687,0.1452024045,0.0030296143,0.0319042741,0.0162839904,0.0005871586,0.0090822568,0.2947233553,0.5143360288,0.1601659111,0.0033711861,0.0290113482,0.01361902,0.0164597971,0.0051837567,,
5,0.3430650891,0.4670941608,0.134406214,0.0019026078,0.0327609249,0.0095078859,0.0014834959,0.0097796216,0.3316116307,0.477976278,0.1454740974,0.0035667046,0.0335215615,0.0154319003,0.0158132506,0.0046311039,,
6,0.3083698186,0.4821401028,0.1377968217,0.0015090029,0.0460475002,0.0139584288,0.00153392,0.0086444049,0.29297535,0.5008864038,0.1490163287,0.0035058886,0.0447600244,0.015800855,0.0186987173,0.004750489,,
7,0.3144846316,0.4230796704,0.1272131401,0.0031796553,0.1036222088,0.019074129,0.0006807013,0.0086658634,0.3198146367,0.4350292226,0.1394704574,0.0031327936,0.0656782704,0.0149491406,0.0146289476,0.0037786075,,
8,0.3540630382,0.4804324451,0.1333122023,0.0034249047,0.0053586636,0.0124733668,0.0010076189,0.0099277604,0.3267217901,0.4865423189,0.1501344483,0.0029089447,0.0199474329,0.0150657771,0.0161698956,0.0033105696,,
9,0.3440501621,0.4739778618,0.1396854478,0.0030865231,0.0131212035,0.0172037392,0.0005479968,0.0083270658,0.3186369513,0.4808427305,0.148782222,0.0026896752,0.0309940064,0.0162922539,0.0170977397,0.0060005451,,
AVG,0.3229458146,0.4684336915,0.1353301826,0.0024939273,0.0464715597,0.0142923001,0.0010020801,0.0090304441,0.3132035404,0.4782179508,0.1478208479,0.0029842554,0.0423709742,0.0148578767,0.0162046264,0.0049778979,,
/home/gissella/Documents/Research/Disaggregation/PecanStreet-dataport/VRNN_theano_version/output/allAtOnce/18-06-11_19-48/dp_disall-sch_1_best.pkl,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,REAL,,,,,,,,,,,,,,,,,
