{0: 0.0001, 75: 1e-05, 150: 1e-06}
{6990: ('2015-01-01', '2016-01-01')}
q_z_dim,p_z_dim,p_x_dim,x2s_dim,y2s_dim,z2s_dim
80,80,60,50,50,60
epoch,log,mse,mae
0,19.0678460702,3.11959067796,1.33422166023
10,2.75965136522,3.21528953291,1.10361930374
20,-12.5392368088,2.9780663124,0.985021770969
30,-15.1971812766,2.9777334767,0.971284667075
40,-16.3479558447,3.02407838081,0.968179048072
50,-18.7096548948,3.01104865906,0.957549759627
60,-19.0433644999,3.01776943881,0.960002738074
70,-19.3631025644,3.03599655721,0.961883211168
80,-19.8422574303,3.00861304745,0.952938274984
90,-19.9066705515,3.03413941721,0.960473728103
100,-19.9425218855,3.03056432977,0.96033306312
110,-19.9778677406,3.023648863,0.958769186156
120,-20.0235538984,3.02734328658,0.9597298668
130,-20.0523929015,3.02223259379,0.958301445678
140,-20.049324478,3.03483301725,0.962046635044
150,-20.0714646519,3.02781519705,0.960719633507
160,-20.1943617848,3.03771197599,0.962933478482
170,-20.2017364198,3.02457410224,0.958939518299
180,-20.2014280949,3.04462367998,0.963800703572
190,-20.206958742,3.03213556423,0.959990122214
200,-20.2157824218,3.03375950434,0.960667181118
