{0: 0.0001, 75: 1e-05, 150: 1e-06}
{2859: ('2015-06-25', '2015-11-01')}
q_z_dim,p_z_dim,p_x_dim,x2s_dim,y2s_dim,z2s_dim
80,80,60,50,50,60
epoch,log,mse,mae
0,28.2793237861,2.06356469418,1.17885843831
10,14.6732855021,0.837635638676,0.674259292255
20,-23.31495361,0.796193850752,0.52260269244
31,-30.9905381765,0.788504499604,0.508310160467
41,-35.2077959813,0.784236843189,0.505639400155
51,-26.0262795619,0.780255179166,0.506405575333
62,-26.9579096891,0.764867362344,0.493905684969
72,-30.5094262475,0.74711628911,0.480813735732
82,-39.9603855811,0.737704636352,0.470256077571
93,-41.7508714697,0.719131906807,0.462667642202
103,-42.7885392991,0.760070005182,0.482707813296
113,-43.9931028794,0.721197536175,0.461095612813
124,-44.5534810167,0.739905131357,0.471846660221
134,-45.4359527002,0.742237419461,0.473245517131
144,-46.0107851203,0.745400572066,0.474712858111
155,-46.5133762026,0.737740928023,0.47252921851
165,-46.8160431261,0.744222329899,0.474712969585
175,-46.8428217084,0.730959957292,0.469857066465
186,-46.9168663817,0.740134393602,0.472855592458
196,-47.0083062932,0.743882421676,0.475112173475
200,-47.4212084095,0.747086325115,0.474622001674
