{0: 0.001}
{2859: ('2015-01-01', '2016-01-01'), 8292: ('2015-01-01', '2016-01-01'), 3413: ('2015-01-01', '2016-01-01'), 6990: ('2015-01-01', '2016-01-01'), 7951: ('2015-01-01', '2016-01-01')}
logTest,mseTest,maeTest, mseTestUnNorm, maeTestUnNorm
-14.1780875948,0.108675667258,0.183141301427,0.13291587335,0.202538954082
q_z_dim,p_z_dim,p_x_dim,x2s_dim,y2s_dim,z2s_dim
150,150,150,100,100,100
epoch,log,kl,mse,mae
0,28.49,0.38,2.098,1.181
12,8.91,0.00,0.541,0.463
25,4.07,0.02,0.607,0.498
37,4.61,0.02,0.520,0.449
50,3.46,0.04,0.519,0.451
62,2.94,0.02,0.451,0.402
75,3.02,0.03,0.514,0.443
87,-0.62,0.07,0.421,0.366
100,-4.17,0.08,0.430,0.376
112,-4.86,0.25,0.265,0.299
125,-9.55,0.34,0.195,0.247
137,-10.53,0.35,0.154,0.225
150,-12.99,0.29,0.120,0.197
162,-9.33,0.56,0.116,0.205
175,-11.39,0.43,0.119,0.200
187,-11.50,0.84,0.115,0.198
200,-15.22,0.65,0.098,0.177
