{0: 0.01, 200: 0.001, 50: 0.001},,,,,,,,,,,,,,,,,,
['furnace1', 'refrigerator1'],,,,,,,,,,,,,,,,,,,
{2859: ('2015-01-01', '2016-01-01')},,,,,,,,,,,,,,,,,,,
logTest,mseTest,maeTest,,,,,,,,,,,,,,,,,,
-200.712384802,2.7630497377,1.1559330649,,,,,,,,,,,,,,,,,,
q_z_dim,p_z_dim,p_x_dim,x2s_dim,y2s_dim,z2s_dim,,,,,,,,,,,,,,,
500,500,500,200,200,200,,,,,,,,,,,,,,,
epoch,log,kl,mse1,mse2,mse3,mse4,mse5,mse6,mse7,mse8,mae1,mae2,mae3,mae4,mae5,mae6,mae7,mae8,MSE,MAE
0,225.992091,11.683982,2.15,2,0,0,0,0,0,0,1.116,1.123,0,0,0,0,0,0,2.08,1.1195
10,248.248501,0.314101,1.085,1.791,0,0,0,0,0,0,0.524,0.987,0,0,0,0,0,0,1.44,0.7555
20,108.841201,0.042341,0.729,0.965,0,0,0,0,0,0,0.324,0.545,0,0,0,0,0,0,0.85,0.4345
30,-98.886615,0.050684,0.394,2.304,0,0,0,0,0,0,0.184,1.123,0,0,0,0,0,0,1.35,0.6535
40,-234.835928,0.005522,0.709,0.984,0,0,0,0,0,0,0.298,0.502,0,0,0,0,0,0,0.85,0.4
50,-263.515243,0.010073,0.609,0.806,0,0,0,0,0,0,0.254,0.408,0,0,0,0,0,0,0.71,0.331
60,-467.510523,0.005368,0.422,0.696,0,0,0,0,0,0,0.173,0.331,0,0,0,0,0,0,0.56,0.252
70,-491.262084,0.00494,0.398,0.662,0,0,0,0,0,0,0.166,0.318,0,0,0,0,0,0,0.53,0.242
80,-504.830957,0.004851,0.392,0.647,0,0,0,0,0,0,0.165,0.316,0,0,0,0,0,0,0.52,0.2405
90,-370.77804,0.004442,0.389,0.715,0,0,0,0,0,0,0.165,0.362,0,0,0,0,0,0,0.55,0.2635
100,-372.614002,0.004311,0.405,0.694,0,0,0,0,0,0,0.173,0.352,0,0,0,0,0,0,0.55,0.2625
110,-444.844427,0.003942,0.406,0.659,0,0,0,0,0,0,0.173,0.338,0,0,0,0,0,0,0.53,0.2555
120,-442.009128,0.003842,0.403,0.701,0,0,0,0,0,0,0.172,0.373,0,0,0,0,0,0,0.55,0.2725
130,-403.078781,0.003692,0.42,0.689,0,0,0,0,0,0,0.178,0.364,0,0,0,0,0,0,0.55,0.271
140,-414.131529,0.003766,0.429,0.683,0,0,0,0,0,0,0.181,0.357,0,0,0,0,0,0,0.56,0.269
150,-436.217573,0.003841,0.445,0.662,0,0,0,0,0,0,0.186,0.345,0,0,0,0,0,0,0.55,0.2655
160,-441.953862,0.003961,0.448,0.645,0,0,0,0,0,0,0.187,0.333,0,0,0,0,0,0,0.55,0.26
170,-437.730899,0.004286,0.454,0.719,0,0,0,0,0,0,0.19,0.356,0,0,0,0,0,0,0.59,0.273
180,-407.96864,0.00437,0.435,0.761,0,0,0,0,0,0,0.181,0.411,0,0,0,0,0,0,0.60,0.296
190,-436.755581,0.00475,0.41,0.69,0,0,0,0,0,0,0.174,0.373,0,0,0,0,0,0,0.55,0.2735
200,-448.257606,0.004934,0.409,0.675,0,0,0,0,0,0,0.173,0.363,0,0,0,0,0,0,0.54,0.268
210,-455.187663,0.005051,0.398,0.65,0,0,0,0,0,0,0.17,0.35,0,0,0,0,0,0,0.52,0.26
220,-463.553002,0.005119,0.401,0.663,0,0,0,0,0,0,0.171,0.346,0,0,0,0,0,0,0.53,0.2585
230,-465.397726,0.004909,0.398,0.639,0,0,0,0,0,0,0.169,0.343,0,0,0,0,0,0,0.52,0.256
240,-471.21089,0.005029,0.391,0.637,0,0,0,0,0,0,0.167,0.337,0,0,0,0,0,0,0.51,0.252
250,-474.68538,0.005449,0.396,0.635,0,0,0,0,0,0,0.168,0.336,0,0,0,0,0,0,0.52,0.252
260,-485.896487,0.006267,0.381,0.591,0,0,0,0,0,0,0.163,0.328,0,0,0,0,0,0,0.49,0.2455
270,-473.272419,0.006648,0.387,0.582,0,0,0,0,0,0,0.165,0.331,0,0,0,0,0,0,0.48,0.248
280,-498.161427,0.00648,0.382,0.577,0,0,0,0,0,0,0.162,0.329,0,0,0,0,0,0,0.48,0.2455
290,-302.819209,0.006445,0.38,0.685,0,0,0,0,0,0,0.161,0.412,0,0,0,0,0,0,0.53,0.2865
300,-471.939355,0.005742,0.393,0.68,0,0,0,0,0,0,0.164,0.349,0,0,0,0,0,0,0.54,0.2565
